Email,problem0,problem1,problem2,problem3,problem4,Score
ruth.laverl@yahoo.com,10,7,10,10,10,47
gary.ashyia@mail.ru,3,7,10,10,10,40
adelina.roxene@gmail.com,10,7,10,--------,5,32
charles.purdy@hotmail.com,10,10,10,10,10,50
latonya.ervena@gmail.com,5,10,10,10,10,45
mollie.gaines@gmail.com,7,10,10,7,10,44
rebecca.latrea@gmail.com,10,10,10,10,10,50
denise.rickayla@gmail.com,10,10,10,10,10,50
john.terasa@gatech.edu,10,7,1,2,5,25
patricia.ariha@gatech.edu,5,10,10,10,10,45
lily.hilry@gatech.edu,8,7,10,2,6,33
anthony.fashionette@yahoo.com,10,10,10,10,10,50
archer.arjay@gmail.com,5,10,10,8,5,38
michael.dixy@gmail.com,10,8,10,10,10,48
trey.haldrin@gmail.com,10,10,10,10,10,50
melanie.devantre@gmail.com,3,7,10,0,6,26
james.marcisha@gatech.edu,10,10,10,10,5,45
drew.artice@gmail.com,10,10,10,10,10,50
henrietta.sorayda@gmail.com,10,10,10,8,5,43
jon.durke@gmail.com,10,10,10,10,10,50
stephanie.lylarae@gatech.edu,5,7,10,8,10,40
sherree.jamesena@hotmail.com,5,7,10,0,5,27
alonso.tamarcus@gmail.com,10,10,10,--------,5,35
maximus.khingston@gmail.com,10,10,10,10,10,50
harry.narsiso@gmail.com,5,10,10,0,10,35
sampson.seine@gatech.edu,10,10,10,10,10,50
marianne.terianna@gmail.com,10,10,10,10,10,50
ashley.zadiel@gmail.com,10,10,10,10,10,50
norvell.ahmyr@gatech.edu,10,10,10,10,10,50
melanie.richana@gmail.com,10,10,10,10,10,50
clarence.wyhatt@gatech.edu,10,10,10,10,10,50
jordan.reyanne@gmail.com,10,10,10,10,10,50
christopher.dailee@gmail.com,10,10,10,10,10,50
kinley.milaysia@gmail.com,10,10,10,--------,10,40
angelo.shakwan@gatech.edu,10,10,10,10,10,50
nora.joshuajames@gatech.edu,7,10,10,10,10,47
samuel.anoria@gmail.com,5,10,10,2,6,33
harry.shiane@e.ntu.edu.sg,10,10,10,10,10,50
betsy.edwynn@mac.com,10,10,10,10,10,50
valerie.jamial@gmail.com,10,10,10,10,10,50
jason.saveria@gmail.com,10,10,10,10,10,50
julene.yovanni@unal.edu.co,10,10,10,10,10,50
inez.michol@gatech.edu,7,7,10,--------,5,29
cheryl.jaimir@hotmail.com,10,10,10,10,10,50
mason.haskell@gatech.edu,5,7,10,2,5,29
luke.lexe@gatech.edu,10,10,10,10,10,50
susan.jannick@gmail.com,10,10,10,10,6,46
thomas.dyanni@gmail.com,10,10,10,6,5,41
george.roa@hotmail.com,10,10,10,10,10,50
shakyla.freta@gmail.com,5,10,10,6,5,36
nancy.quaniya@hotmail.com,10,10,10,10,10,50
sharon.daionna@gatech.edu,10,10,10,10,10,50
harper.lemorris@gmail.com,10,10,10,10,10,50
henry.wyomia@gmail.com,5,7,10,10,6,38
matthew.taw@gmail.com,10,10,10,10,10,50
barbara.khysen@gmail.com,10,10,10,10,10,50
joseph.shariden@gmail.com,10,10,10,10,6,46
jennifer.matea@gatech.edu,5,10,10,10,10,45
jason.lovett@outlook.com,10,7,10,--------,10,37
marie.mehrish@gmail.com,10,10,10,10,10,50
adena.talaiya@qq.com,10,10,10,10,10,50
valerie.ar@gmail.com,10,10,10,2,5,37
irene.terece@gmail.com,10,10,10,10,6,46
hobart.malala@gmail.com,10,7,10,10,10,47
molly.makensey@gmail.com,10,10,10,2,10,42
paxton.maragret@gmail.com,10,10,10,10,10,50
pauline.trechelle@gmail.com,10,7,10,10,10,47
shannon.khalanii@gatech.edu,10,10,10,10,10,50
omar.cheyton@gatech.edu,10,10,10,10,10,50
johnny.anass@gmail.com,10,10,10,--------,6,36
michael.meleyah@gmail.com,10,10,10,10,10,50
alexandra.kogan@gmail.com,10,10,10,10,10,50
dejon.lyrae@gmail.com,10,10,10,10,10,50
melissa.sherral@gmail.com,5,7,10,10,5,37
monica.ahron@gmail.com,10,10,10,10,10,50
kristopher.erandi@gmail.com,7,10,10,--------,6,33
sharilyn.elvana@gmail.com,5,10,10,8,10,43
kathleen.lonn@outlook.com,10,10,10,10,10,50
margarita.zoli@gmail.com,5,7,1,10,5,28
danielle.kulsoom@gmail.com,10,10,10,10,10,50
eric.sridevi@hotmail.com,10,10,10,--------,10,40
cody.eastin@gmail.com,5,7,10,10,10,42
russell.dick@gmail.com,2,0,1,0,5,8
courtney.daymeon@alum.lehigh.edu,10,10,10,8,5,43
christine.rostam@gmail.com,3,--------,--------,--------,--------,3
tory.shritha@gmail.com,5,7,10,4,6,32
eric.tamiesha@gmail.com,8,10,1,--------,5,24
stanley.denaly@gmail.com,5,10,10,10,10,45
john.sujit@gmail.com,10,10,10,10,10,50
kyler.kimya@gmail.com,5,7,10,--------,5,27
patricia.breely@gmail.com,10,10,10,10,10,50
richard.marshaye@gmail.com,8,10,10,10,6,44
breanna.abdulmalek@gatech.edu,3,10,1,0,1,15
jeri.robynn@gmail.com,8,10,10,10,5,43
terry.shantrece@gmail.com,10,10,10,8,10,48
leta.kartier@gmail.com,3,2,10,2,5,22
lynlee.khalayah@hotmail.com,5,7,1,2,--------,15
savanna.montral@gatech.edu,10,10,10,10,10,50
deborah.quinneshia@gmail.com,10,7,10,10,10,47
bonita.keneasha@gatech.edu,10,10,10,10,10,50
rashad.datra@gmail.com,10,10,10,10,10,50
elizabeth.america@gmail.com,5,7,1,0,10,23
gael.iduma@hotmail.com,10,10,10,0,10,40
keith.saraiya@gmail.com,10,10,10,2,5,37
carlyn.teffany@gmail.com,10,7,10,10,10,47
hayden.mixtly@ieee.org,10,7,10,7,6,40
micheal.glenola@gatech.edu,10,10,10,10,5,45
ryann.satsuko@gmail.com,10,10,10,10,6,46
john.bergin@gatech.edu,2,2,10,7,5,26
paul.laconya@gmail.com,7,7,10,10,5,39
jade.tliyah@gmail.com,10,10,10,6,10,46
gerardo.allesha@gmail.com,10,7,10,10,10,47
nancy.saba@yahoo.com,10,10,10,8,5,43
joy.jaceion@gmail.com,10,10,10,10,10,50
john.briyelle@gatech.edu,5,7,10,--------,5,27
mary.lunalee@gmail.com,10,10,10,10,10,50
xavier.lavesta@gmail.com,10,7,10,--------,5,32
christian.anum@gmail.com,10,10,10,10,10,50
randall.bedelia@gmail.com,10,7,10,--------,10,37
jacob.talecia@gmail.com,10,7,10,--------,5,32
calvin.taskin@gmail.com,10,10,10,10,10,50
jennifer.rodericus@gmail.com,10,10,--------,1,5,26
tiare.capree@gatech.edu,3,0,10,6,6,25
mary.issys@gatech.edu,10,10,10,10,10,50
brian.moni@gmail.com,10,10,10,10,10,50
jackie.barrion@live.de,10,10,10,10,5,45
jordan.trenetta@gmail.com,10,10,10,10,5,45
robin.kathren@gmail.com,10,10,10,10,10,50
james.sephiroth@gmail.com,5,7,10,8,10,40
harold.phillip@gatech.edu,10,10,5,0,5,30
taryn.raneshia@yahoo.co.id,7,10,10,10,10,47
gino.branston@gatech.edu,10,10,10,10,10,50
kayla.pamalee@protonmail.com,5,7,10,8,6,36
john.ruther@gmail.com,5,7,10,10,10,42
lukas.marcquise@gmail.com,8,7,10,2,10,37
bonnie.dreylan@gatech.edu,10,10,10,10,10,50
olivia.prit@yahoo.com,5,7,1,0,5,18
chelsea.dilann@gatech.edu,10,10,10,8,5,43
dylan.aziria@gmail.com,10,10,10,10,10,50
edgar.paishance@umn.edu,10,7,10,8,5,40
gloria.zaed@gmail.com,7,10,10,10,6,43
olivia.geral@yahoo.com,10,10,10,10,10,50
francis.hazlie@gmail.com,5,2,10,10,0,27
sarah.sheylin@gmail.com,10,10,10,8,10,48
alexander.rollan@gatech.edu,10,10,10,10,10,50
ashir.clintin@gatech.edu,10,10,10,10,10,50
charles.tocha@gmail.com,5,7,10,8,--------,30
rita.sidny@gmail.com,10,7,10,10,10,47
angela.lynisha@gatech.edu,10,10,10,10,10,50
erika.diaan@gmail.com,10,10,10,10,10,50
robert.burnest@gmail.com,5,7,10,10,5,37
amanda.hessa@gatech.edu,7,10,10,10,5,42
samantha.vidella@gmail.com,10,10,10,10,10,50
barbara.khendra@gatech.edu,10,10,10,10,10,50
barbara.carma@outlook.com,10,0,10,7,5,32
george.eliyan@gmail.com,10,10,10,10,8,48
jessica.sakya@gatech.edu,10,10,10,10,10,50
amaya.krew@gmail.com,10,10,10,10,10,50
karen.tanji@gatech.edu,10,10,10,10,10,50
arthur.donnaven@rabobank.nl,7,7,10,10,10,44
jonathan.nilsa@gmail.com,10,10,10,6,10,46
jewell.av@qq.com,3,10,10,--------,5,28
arthur.skii@gatech.edu,10,10,10,10,5,45
nathan.lawyer@gmail.com,3,10,--------,7,10,30
brianna.jenysis@gatech.edu,9,10,10,10,10,49
jesus.monserrath@gmail.com,9,10,10,1,5,35
nikolaj.correne@att.net,10,10,10,10,10,50
lisa.hovik@gmail.com,5,7,10,2,5,29
mary.wesner@gatech.edu,7,7,10,0,10,34
scott.tyreka@gatech.edu,10,10,10,10,10,50
francisco.anyeline@gatech.edu,10,10,10,6,5,41
benjamin.zanthia@gatech.edu,10,10,10,10,10,50
jesse.aritzi@gmail.com,2,--------,1,--------,5,8
