Email,problem0,problem1,problem2,problem3,problem4,problem5,Score
sean.maizley@gmail.com,10,10,1,7,10,4,42
zuri.eilleen@gatech.edu,10,10,6,9,5,5,45
leigh.nadiyah@gatech.edu,7.5,10,2,2,3,5,29.5
brodie.scottia@gmail.com,10,10,9,7,--------,10,45
destiny.charnaye@gatech.edu,10,10,10,10,10,10,45
mary.ceniyah@brunswickschool.org,7.5,10,2,0,0,9,28.5
dominic.lexanni@gmail.com,7.5,10,4,2,3,10,36.5
ron.mariadelosangel@gmail.com,8,10,8,2,3,9,40
joyce.adeel@gmail.com,7.5,10,2,0,3,10,32.5
john.armando@pentafoundation.org,10,10,9,6,5,9,45
juancarlos.carrye@gatech.edu,10,10,8,7,5,5,45
aubrey.keadyn@gmail.com,7.5,10,9,3,--------,4,33.5
kathy.tavaughn@gmail.com,9,10,3,4,1,7,34
holly.chintan@msn.com,7.5,10,1,7,3,10,38.5
iwao.jency@gmail.com,10,10,3,5,3,4,35
mary.pasquinel@gmail.com,10,7,3,0,3,4,27
alexander.rollan@gatech.edu,7.5,10,--------,9,10,10,45
justin.zende@yahoo.com,7.5,10,6,8,1,10,42.5
virginia.marqell@gmail.com,10,10,2,--------,10,4,36
luis.jonn@gmail.com,7.5,5,1,--------,--------,10,23.5
michael.johnjack@gmail.com,10,10,8,0,10,9,45
charles.jorelys@gmail.com,10,10,2,--------,10,10,42
cathy.abdula@gmail.com,10,10,3,2,0,2,27
ruth.ayaa@gmail.com,10,10,3,8,5,10,45
mae.renzie@aol.com,10,10,2,0,5,9,36
kathleen.morrigan@gmail.com,10,10,2,2,3,10,37
hayden.mixtly@ieee.org,10,10,2,10,1,9,42
lindsey.kinard@hotmail.com,7.5,10,8,--------,1,9,35.5
jonathan.waheedah@gmail.com,--------,10,2,10,10,10,42
david.brandia@gmail.com,10,10,10,10,10,10,45
laura.tyzier@hungperfect.com,10,10,7,0,10,10,45
christopher.denean@gatech.edu,2.5,10,2,2,3,10,29.5
mary.damarte@gmail.com,10,10,6,--------,10,10,45
jenna.shaunah@gmail.com,10,10,5,--------,5,10,40
chad.kamiyra@gatech.edu,10,10,9,10,10,4,45
michael.kavayah@gatech.edu,10,10,7,10,5,4,45
abraham.clairece@gmail.com,10,10,8,10,5,2,45
dejon.lyrae@gmail.com,9,10,9,2,8,10,45
jeffrey.raoof@gmail.com,5.5,10,2,--------,3,10,30.5
martha.twanetta@numera.consulting,4.5,10,1,10,3,4,32.5
allie.jatziry@gmail.com,10,10,2,3,--------,10,35
kiesha.millard@gmail.com,10,10,2,10,3,2,37
jessica.sakya@gatech.edu,10,10,2,10,1,2,35
kenneth.bryland@gatech.edu,10,10,7,--------,10,9,45
tiffany.rexlee@gmail.com,7.5,10,2,2,10,9,40.5
jerry.zierre@gmail.com,--------,10,8,10,10,10,45
julia.tyrene@gatech.edu,7.5,10,3,--------,10,10,40.5
matthew.juhi@gmail.com,5.5,10,6,--------,1,9,31.5
nichole.bertrice@gmail.com,10,10,7,7,10,9,45
geraldine.kingsolomon@gatech.edu,7.5,10,2,--------,3,9,31.5
lukas.marcquise@gmail.com,2.5,10,8,--------,8,9,37.5
sanquita.yhadira@gmail.com,9,10,7,8,10,10,45
dashay.lanier@gmail.com,10,10,5,3,5,4,37
lowell.tylek@gatech.edu,7.5,10,8,--------,8,10,43.5
william.artricia@vcu.edu,5.5,7,3,2,3,10,30.5
jenae.torrence@gatech.edu,7.5,10,3,0,1,10,31.5
lauren.tonnisha@gmail.com,3.5,10,1,--------,--------,10,24.5
brandon.jerrill@gatech.edu,7.5,10,6,5,10,9,45
jason.saveria@gmail.com,10,7,8,3,5,10,43
timothy.bunita@gmail.com,7.5,10,1,--------,--------,10,28.5
harry.dafni@icloud.com,7.5,7,3,0,0,10,27.5
rita.devun@gmail.com,10,10,1,0,1,9,29
devan.sameya@gmail.com,10,10,2,3,3,5,33
melissa.sherral@gmail.com,7.5,10,3,2,5,10,37.5
janet.tenaj@gmail.com,7,10,3,--------,0,4,24
thomas.lucillia@asu.edu,10,10,3,2,3,9,37
blair.olivianna@gmail.com,10,10,10,5,10,10,45
paul.jawaski@gmail.com,7.5,10,8,2,1,10,38.5
noah.jamea@gmail.com,7.5,10,2,2,1,10,32.5
florence.jenessa@gmail.com,2.5,10,3,2,1,10,28.5
jordan.reyanne@gmail.com,7.5,10,3,--------,5,4,29.5
david.harun@gmail.com,7.5,10,5,--------,6,9,37.5
madeline.soila@gatech.edu,10,10,2,10,5,10,45
marianne.terianna@gmail.com,10,10,2,--------,5,10,37
nora.joshuajames@gatech.edu,7.5,10,5,--------,5,10,37.5
brian.tylicia@gmail.com,10,10,5,--------,10,10,45
mary.yahshua@gatech.edu,10,10,4,0,3,5,32
africa.zevion@gmail.com,7.5,10,2,3,1,10,33.5
tina.starsky@outlook.com,10,10,2,2,1,3,28
katelyn.sala@hotmail.com,10,10,4,0,3,5,32
matthew.monise@hotmail.com,10,10,3,4,3,8,38
matthew.jacon@yahoo.com,2.5,10,2,10,3,10,37.5
gloria.zaed@gmail.com,3.5,10,3,5,10,10,41.5
charles.nando@gmail.com,10,7,5,--------,1,9,32
faye.daly@yahoo.com,5.5,7,6,5,5,2,30.5
sarah.chee@ieee.org,10,10,--------,2,10,10,42
ara.dagny@outlook.com,10,10,6,0,--------,10,36
maximus.khingston@gmail.com,10,10,10,10,5,2,45
mary.kavaris@gmail.com,9,10,2,3,10,10,44
bobby.dezya@gmail.com,10,10,8,5,5,10,45
arthur.donnaven@rabobank.nl,5.5,10,3,3,5,10,36.5
james.miina@gmail.com,7.5,10,2,3,3,10,35.5
ronald.elfie@gmail.com,10,10,2,--------,1,10,33
george.hinata@gatech.edu,10,10,3,5,5,10,43
robert.tolisha@gatech.edu,10,10,4,7,5,10,45
linda.sheyli@gmail.com,7.5,10,2,--------,--------,10,29.5
gregory.shondell@gmail.com,3.5,10,2,10,10,10,45
delores.idele@gmail.com,10,10,4,7,8,10,45
lola.fysher@gmail.com,10,10,5,--------,--------,10,35
rafael.kaston@gatech.edu,7.5,10,8,2,1,4,32.5
galen.marilia@gmail.com,5.5,10,2,5,--------,10,32.5
hetty.jenyka@gmail.com,10,10,2,7,10,5,44
archer.arjay@gmail.com,10,10,8,--------,8,10,45
robert.gioanna@gatech.edu,7.5,10,6,3,5,10,41.5
elizabeth.eryc@gmail.com,10,10,--------,10,5,10,45
sean.henrene@gmail.com,7.5,10,8,3,8,10,45
susan.tedrina@gatech.edu,10,10,2,2,10,10,44
karina.tomea@ucr.edu,9,10,8,0,5,5,37
jude.ahsir@gatech.edu,7.5,10,2,3,1,10,33.5
jason.jadian@gmail.com,7.5,7,2,--------,10,10,36.5
betsy.rictoria@bucknell.edu,7.5,10,2,3,10,10,42.5
robin.kathren@gmail.com,2.5,10,2,2,10,10,36.5
damian.imarion@gmail.com,10,10,7,3,10,10,45
rosemary.kevondrick@gmail.com,7.5,10,2,2,5,10,36.5
barbara.carma@outlook.com,9,10,7,1,8,10,45
eddie.suvam@gmail.com,10,10,3,0,8,10,41
bradley.dailey@case.edu,10,10,2,2,10,10,44
tyler.raeyna@gmail.com,--------,10,1,2,10,8,31
aaron.kyerra@foxmail.com,8,10,1,2,--------,10,31
nancy.lebrandon@gmail.com,10,10,10,--------,10,--------,40
eugene.chares@gatech.edu,10,10,2,2,--------,10,34
alexandra.lacee@madlan.co.il,10,10,4,10,5,10,45
joan.christineanne@gmail.com,10,10,8,--------,--------,2,30
sammie.jaydaa@gmail.com,10,7,3,--------,--------,2,22
jessie.armetta@gatech.edu,--------,10,9,10,10,10,45
taryn.raneshia@yahoo.co.id,9,10,3,5,10,10,45
ashir.clintin@gatech.edu,--------,10,2,10,5,10,37
patricia.zuber@gmail.com,10,10,6,4,5,10,45
max.nequita@valensdatalabs.com,7.5,10,6,2,10,10,45
james.adeanna@email.arizona.edu,7.5,10,5,0,3,10,35.5
meghan.karlotta@gatech.edu,10,10,5,--------,--------,9,34
michelle.lawana@gmail.com,7.5,10,1,0,--------,10,28.5
jarrod.onas@gatech.edu,10,10,2,--------,8,10,40
joseph.shariden@gmail.com,10,10,6,3,10,3,42
kinley.milaysia@gmail.com,10,10,10,--------,10,10,45
tracy.giovoni@gatech.edu,10,10,1,10,10,10,45
karen.tanji@gatech.edu,10,10,2,10,10,10,45
robert.larico@yahoo.com,10,10,2,--------,5,2,29
chris.jonithan@gmail.com,7.5,10,2,--------,3,10,32.5
olivia.geral@yahoo.com,10,10,--------,10,10,10,45
eric.sridevi@hotmail.com,10,10,2,5,1,10,38
gary.ashyia@mail.ru,10,10,2,3,10,10,45
john.briyelle@gatech.edu,5.5,10,2,2,3,10,32.5
paul.paxson@gatech.edu,10,10,10,--------,1,10,41
david.zackaree@gmail.com,10,10,3,9,5,10,45
sarah.sheylin@gmail.com,10,10,5,--------,5,2,32
bennett.shelbert@gmail.com,10,10,2,10,5,5,42
oliver.caila@gatech.edu,10,10,2,2,8,10,42
sampson.seine@gatech.edu,10,10,1,3,1,2,27
sheila.vananh@gmail.com,5.5,7,--------,2,1,9,24.5
donald.hendrick@gmail.com,0,10,1,--------,3,10,24
jan.taqi@gatech.edu,7.5,10,2,2,5,4,30.5
justin.jernee@gatech.edu,10,10,2,10,3,5,40
robert.aveah@web.de,7.5,7,2,0,1,2,19.5
marie.mehrish@gmail.com,10,10,1,9,1,10,41
kassandra.starshema@gatech.edu,10,10,8,--------,10,10,45
shakyla.freta@gmail.com,10,10,8,2,5,10,45
cadence.monsserat@gmail.com,7.5,10,3,--------,5,4,29.5
george.eliyan@gmail.com,9,10,2,10,5,10,45
jacolyn.deborahh@live.de,10,10,8,7,1,10,45
fernando.jenzel@gmail.com,2.5,10,6,10,5,4,37.5
barbara.hatsumi@gmail.com,7.5,10,2,3,1,10,33.5
mollie.gaines@gmail.com,7.5,10,6,2,3,9,37.5
kayla.bhavna@gatech.edu,2.5,10,2,--------,3,10,27.5
lisa.demerion@gmail.com,10,7,1,2,3,4,27
eileen.malu@gmail.com,2.5,10,8,--------,10,5,35.5
delores.christipher@gmail.com,10,10,5,7,5,10,45
amanda.hessa@gatech.edu,10,10,2,10,1,10,43
james.amiee@gmail.com,7.5,10,8,0,10,10,45
margaret.tim@protonmail.com,10,10,10,10,5,--------,45
william.sanvi@gmail.com,7.5,10,2,--------,3,5,27.5
ellie.jodean@gmail.com,7.5,10,7,2,1,10,37.5
david.zarak@gmail.com,10,10,7,2,3,10,42
susan.jannick@gmail.com,9,10,8,9,3,10,45
elliott.ehlana@gmail.com,8.5,10,5,2,10,9,44.5
jamilah.marcellyn@yahoo.com,6.5,10,--------,5,--------,10,31.5
clarence.wyhatt@gatech.edu,4.5,10,2,3,10,10,39.5
harry.narsiso@gmail.com,7.5,10,5,--------,10,10,42.5
patricia.vernell@gmail.com,10,10,2,9,3,10,44
audrey.khushbu@gmail.com,5.5,10,2,--------,1,5,23.5
barbara.kalesi@gmail.com,3.5,10,6,0,1,10,30.5
abigail.lanty@gatech.edu,7.5,10,3,2,1,10,33.5
patricia.ariha@gatech.edu,10,10,5,--------,8,10,43
christian.miyisha@yahoo.com,2.5,--------,1,--------,--------,4,7.5
ruth.laverl@yahoo.com,7.5,10,8,--------,8,10,43.5
christopher.dailee@gmail.com,5.5,10,2,--------,8,10,35.5
edwin.dakai@gmail.com,10,10,8,2,5,10,45
olga.shane@gatech.edu,10,10,10,10,5,--------,45
frank.ethelmae@yahoo.com,10,7,5,3,10,5,40
stephanie.lylarae@gatech.edu,10,10,8,5,3,10,45
mark.lakara@yahoo.com,9,10,2,--------,10,9,40
ashley.zadiel@gmail.com,10,10,6,2,10,10,45
jillian.myler@gmail.com,5.5,10,6,0,3,4,28.5
gabrielle.javierjr@hotmail.com,10,10,6,0,5,4,35
albert.averley@gmail.com,7.5,10,3,2,3,10,35.5
sharon.daionna@gatech.edu,10,10,10,10,10,10,45
canaan.cynsere@hotmail.com,--------,10,8,10,3,10,41
melissa.sherriann@gmail.com,2.5,7,1,--------,--------,2,12.5
kristopher.erandi@gmail.com,5.5,10,2,--------,3,5,25.5
audra.kayleh@gmail.com,3.5,10,5,2,3,10,33.5
randall.bedelia@gmail.com,10,10,8,--------,3,10,41
brianna.jenysis@gatech.edu,10,10,5,2,5,3,35
kaitlyn.asharie@gatech.edu,7.5,10,8,5,5,5,40.5
jesus.monserrath@gmail.com,10,10,8,0,1,2,31
paul.laconya@gmail.com,10,10,2,6,8,10,45
barbara.khysen@gmail.com,9,10,2,10,10,4,45
samuel.anoria@gmail.com,10,10,3,2,1,10,36
robert.eila@edna.tech,7.5,10,2,5,10,10,44.5
inez.michol@gatech.edu,--------,10,3,--------,10,10,33
marco.avry@gmail.com,7.5,10,3,7,5,10,42.5
jessi.reggan@gmail.com,10,10,8,10,3,4,45
harry.shiane@e.ntu.edu.sg,10,10,7,5,3,10,45
dana.madisonrose@yahoo.fr,7.5,10,5,2,10,10,44.5
connie.westlan@hotmail.com,0,10,2,2,3,10,27
daniel.cuauhtli@gmail.com,9,7,6,--------,10,4,36
david.luchia@gmail.com,10,10,6,2,1,10,39
sherree.jamesena@hotmail.com,--------,7,3,--------,10,10,30
kathleen.clesha@gmail.com,7.5,10,5,2,10,10,44.5
robert.sebern@gmail.com,3.5,7,1,--------,1,--------,12.5
nathan.raylean@hotmail.com,10,10,3,--------,3,9,35
angelo.shakwan@gatech.edu,9,10,6,10,3,10,45
kayli.christyn@gmail.com,7.5,10,1,--------,--------,10,28.5
sharilyn.elvana@gmail.com,2.5,7,1,2,--------,10,22.5
barbara.dewarren@gmail.com,10,10,2,2,3,4,31
christopher.josericardo@gmail.com,7.5,10,2,2,5,4,30.5
julene.yovanni@unal.edu.co,10,10,10,--------,5,10,45
kathy.kym@gmx.at,3.5,10,5,10,5,10,43.5
winston.wymon@gmail.com,10,10,8,--------,1,10,39
henry.renasia@gatech.edu,7.5,7,--------,--------,1,9,24.5
eugene.glema@hotmail.com,9,10,2,4,10,10,45
monica.ahron@gmail.com,7.5,10,3,3,3,10,36.5
henry.wyomia@gmail.com,7.5,10,6,1,--------,10,34.5
jennifer.matea@gatech.edu,10,10,5,0,3,10,38
michael.afeni@gatech.edu,10,10,--------,10,10,2,42
nancy.quaniya@hotmail.com,9,10,8,6,10,10,45
jenifer.juwuan@gmail.com,9,10,8,2,5,2,36
lily.hilry@gatech.edu,9,10,2,2,10,10,43
scarlett.abyssinia@gatech.edu,10,10,0,10,10,10,45
luke.lexe@gatech.edu,10,10,5,7,10,10,45
trey.haldrin@gmail.com,7.5,10,2,--------,5,4,28.5
samiel.yustin@gatech.edu,9,10,5,--------,3,9,36
john.terasa@gatech.edu,5.5,10,1,2,1,10,29.5
molly.makensey@gmail.com,9,10,3,10,--------,5,37
alex.yaret@gatech.edu,--------,10,10,0,10,10,40
latonya.ervena@gmail.com,5.5,10,6,--------,3,10,34.5
analysa.taisiya@gmail.com,9,10,3,5,1,5,33
jacob.ozkar@gmail.com,7.5,10,2,2,5,9,35.5
jason.lovett@outlook.com,7.5,10,8,3,--------,4,32.5
ethan.lakeyia@gatech.edu,7.5,10,2,2,10,10,41.5
lillie.clover@gatech.edu,9,10,8,10,5,4,45
john.sujit@gmail.com,10,10,10,10,10,10,45
maude.joxiel@gmail.com,7.5,10,1,0,5,5,28.5
bonna.tahisha@yahoo.com,7.5,10,2,--------,5,10,34.5
michael.alaynia@gatech.edu,10,10,6,10,5,4,45
ora.ahnjayla@gatech.edu,10,10,8,7,1,10,45
pamela.vigo@gmail.com,7.5,10,6,--------,8,10,41.5
cecelia.lasondra@gmail.com,10,10,2,2,3,10,37
stephen.clarance@gmail.com,7.5,10,10,9,5,4,45
courtney.daymeon@alum.lehigh.edu,9,10,3,2,3,3,30
matthew.kayli@gatech.edu,9,10,2,--------,--------,10,31
anita.sinclaire@yahoo.com,10,10,10,3,10,9,45
rashad.datra@gmail.com,10,10,10,5,--------,10,45
bryan.carmindy@umn.edu,10,10,7,--------,1,4,32
richard.marshaye@gmail.com,2.5,10,8,8,0,10,38.5
brian.nansy@gmail.com,7.5,10,1,--------,--------,2,20.5
harper.lemorris@gmail.com,10,10,3,2,5,10,40
jeri.robynn@gmail.com,7.5,10,5,3,5,10,40.5
kenneth.shontae@gmail.com,0,10,2,2,10,10,34
henrietta.sorayda@gmail.com,5.5,10,2,5,--------,10,32.5
vivian.kisher@gmail.com,7.5,10,1,4,3,5,30.5
william.piers@gmail.com,7.5,7,3,5,--------,10,32.5
jewell.av@qq.com,--------,7,2,--------,--------,2,11
valerie.ar@gmail.com,10,10,2,5,3,10,40
jon.durke@gmail.com,5.5,10,2,3,--------,2,22.5
michael.meleyah@gmail.com,10,10,--------,--------,--------,10,30
stephen.lakeema@gatech.edu,10,10,10,10,--------,9,45
barrett.wayland@gmail.com,10,10,5,0,1,10,36
shannon.khalanii@gatech.edu,10,10,5,10,10,--------,45
nicki.jovianne@gatech.edu,9,10,3,7,5,5,39
buddy.keyria@gmail.com,--------,10,2,--------,--------,2,14
terry.shantrece@gmail.com,10,10,3,3,3,2,31
tiffany.quindell@gmail.com,10,3,10,10,10,4,45
mark.allysia@gmail.com,10,10,6,1,3,2,32
micheal.glenola@gatech.edu,10,10,3,--------,8,10,41
lillyanna.dester@poczta.onet.pl,7.5,10,6,8,5,10,45
tom.wallice@gmail.com,9,10,6,9,2,9,45
lester.yesmi@gatech.edu,2.5,10,1,--------,10,10,33.5
steven.marleyrae@gmail.com,10,10,10,7,10,--------,45
deborah.quinneshia@gmail.com,2.5,10,10,--------,5,10,37.5
pauline.trechelle@gmail.com,7.5,7,3,2,3,4,26.5
patricia.breely@gmail.com,7.5,7,3,2,--------,10,29.5
daniel.tashera@gmail.com,2.5,--------,--------,--------,--------,--------,2.5
anthony.rabi@hotmail.com,10,10,2,7,10,4,43
louann.jarique@gmail.com,10,10,3,10,2,10,45
eleanor.lenoria@gmail.com,10,10,2,10,3,10,45
sergio.cherye@gmail.com,7.5,10,6,3,5,10,41.5
jarvis.avitaz@gmail.com,10,10,3,--------,3,10,36
savanna.equasha@gatech.edu,2.5,10,--------,--------,--------,9,21.5
linda.jamise@gatech.edu,9,10,3,2,5,10,39
delaney.dshon@gmail.com,10,7,3,--------,5,4,29
mary.issys@gatech.edu,10,10,10,2,10,10,45
charity.rieley@gatech.edu,7.5,10,8,10,1,10,45
brian.moni@gmail.com,10,10,6,5,8,10,45
alexis.shondrea@gatech.edu,10,10,2,2,3,4,31
adena.talaiya@qq.com,9,10,8,7,--------,10,44
jackie.barrion@live.de,7.5,10,2,0,10,9,38.5
tiare.capree@gatech.edu,4.5,10,6,9,10,10,45
george.kareema@outlook.com,10,7,8,10,10,10,45
chelsea.dilann@gatech.edu,10,10,2,3,3,10,38
barbara.khendra@gatech.edu,10,10,3,2,8,9,42
kayla.pamalee@protonmail.com,10,10,3,2,8,9,42
david.duella@gmail.com,8.5,10,6,2,10,9,45
luke.joselen@gatech.edu,10,10,2,3,5,4,34
edna.teerica@gmail.com,7.5,10,6,0,5,10,38.5
dorothy.leycester@gmail.com,10,10,3,3,10,10,45
erika.diaan@gmail.com,10,10,2,6,--------,10,38
john.ruther@gmail.com,10,10,7,0,10,10,45
patrick.zyrion@gmail.com,9,10,3,3,10,10,45
john.sebria@online.de,9,10,6,5,5,10,45
larry.girlene@gmail.com,10,10,8,10,1,10,45
dylan.aziria@gmail.com,10,10,5,5,10,10,45
heather.courtnay@gmail.com,10,10,6,0,5,10,41
rene.amritpal@gmail.com,10,10,1,9,5,10,45
kari.reighlynn@gatech.edu,10,10,8,6,1,10,45
bailey.mckeyla@gatech.edu,10,10,7,--------,10,9,45
natalie.wandell@gmail.com,5.5,7,2,0,3,2,19.5
earl.mahika@gmail.com,10,10,--------,10,3,10,43
samantha.vidella@gmail.com,10,10,5,9,1,10,45
judith.baelie@yahoo.com,10,10,10,7,10,--------,45
stella.latreace@gmail.com,7.5,10,8,--------,5,10,40.5
braylon.tecia@livemail.tw,5.5,10,2,5,3,5,30.5
omar.cheyton@gatech.edu,10,10,1,2,1,10,34
joseph.neethu@gmail.com,9,10,2,10,0,4,35
savanna.montral@gatech.edu,7.5,10,1,2,5,4,29.5
dana.branch@gmail.com,2.5,10,3,10,10,10,45
danielle.kulsoom@gmail.com,10,10,6,1,10,10,45
johnny.anass@gmail.com,10,10,4,7,5,2,38
minnie.akaia@gmail.com,10,10,2,9,5,4,40
keith.saraiya@gmail.com,10,10,1,6,--------,10,37
robert.burnest@gmail.com,10,10,4,2,10,9,45
connor.amilliona@gatech.edu,7.5,10,2,2,10,10,41.5
benjamin.zanthia@gatech.edu,10,10,8,9,--------,10,45
russell.dick@gmail.com,5.5,7,4,--------,1,9,26.5
jamie.asadbek@gmail.com,10,10,2,--------,1,10,33
francis.hazlie@gmail.com,10,10,10,0,10,5,45
gary.adamina@mail.ccsf.edu,10,10,7,3,5,10,45
melanie.richana@gmail.com,2.5,10,3,10,1,10,36.5
kai.rex@gmail.com,7.5,10,6,0,10,10,43.5
christine.leani@yahoo.com,10,10,5,3,10,5,43
kathleen.lonn@outlook.com,5.5,10,3,10,10,10,45
jaime.maasai@gmail.com,7.5,10,7,3,3,5,35.5
louise.aaravi@hotmail.com,10,10,10,--------,10,10,45
chanel.hooria@hotmail.com,10,10,10,--------,0,--------,30
mason.haskell@gatech.edu,7.5,10,2,--------,10,3,32.5
valerie.jamial@gmail.com,10,10,2,10,--------,2,34
charles.purdy@hotmail.com,10,10,2,2,5,4,33
betsy.edwynn@mac.com,10,10,2,3,--------,5,30
jazlyn.florin@gmail.com,5.5,--------,2,--------,3,10,20.5
lisa.hovik@gmail.com,5.5,10,7,2,1,5,30.5
lamar.rinya@yahoo.com,10,10,--------,5,10,10,45
amanda.dvyne@gatech.edu,9,10,3,3,--------,9,34
laila.marae@gatech.edu,10,10,6,9,5,10,45
drew.artice@gmail.com,10,10,2,10,10,10,45
sierra.kyrsha@gatech.edu,10,10,8,2,10,10,45
dana.ashliegh@gatech.edu,10,10,2,--------,10,10,42
tristen.markiah@gatech.edu,10,10,2,4,--------,10,36
carolyn.lamontez@gmail.com,10,10,3,5,--------,10,38
adelina.roxene@gmail.com,2.5,7,3,4,3,10,29.5
stacie.swadha@gmail.com,7.5,10,5,5,10,10,45
betty.pancho@gmail.com,7.5,10,--------,10,10,10,45
thomas.masao@gmail.com,7.5,7,3,10,--------,10,37.5
nathan.lawyer@gmail.com,2.5,10,1,0,3,5,21.5
alexandra.kogan@gmail.com,7.5,10,3,--------,10,10,40.5
paxton.maragret@gmail.com,10,10,8,10,5,10,45
