Email,problem0,problem1,problem2,problem3,problem4,Earned
peter.branwyn@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
jasmine.cread@gatech.edu,2.0,10.0,9.0,10.0,10.0,41.0
kai.rex@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
thomas.masao@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
bruce.ranelle@gmail.com,7.0,10.0,,,,17.0
jonathan.nilsa@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
savanna.equasha@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
james.marcisha@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
alexis.lareesa@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
linda.sheyli@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
aaliyah.tayviona@gatech.edu,10.0,8.0,,5.0,,23.0
christopher.dailee@gmail.com,10.0,10.0,9.0,10.0,6.0,45.0
michael.dixy@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
gregory.shondell@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
arlyn.orlandra@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
andrew.jlah@hotmail.co.uk,10.0,10.0,10.0,5.0,10.0,45.0
randolph.nathalye@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jeanine.antesha@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sherrie.rury@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
abigail.lynnon@gmail.com,,0.0,,0.0,,0.0
richard.chontell@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
andrea.shayaan@gmail.com,7.0,10.0,9.0,5.0,10.0,41.0
kamil.keiarah@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
leena.roah@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
matthew.wassil@gmail.com,4.0,10.0,,10.0,1.0,25.0
zitlaly.nester@valensdatalabs.com,10.0,10.0,10.0,5.0,10.0,45.0
larry.girlene@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
nikki.lysander@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
canaan.cynsere@hotmail.com,7.0,10.0,1.0,,,18.0
elijah.lareta@gatech.edu,5.0,10.0,10.0,10.0,10.0,45.0
thelma.ousman@gmail.com,10.0,7.0,8.0,0.0,0.0,25.0
hobart.malala@gmail.com,10.0,10.0,9.0,5.0,10.0,44.0
harry.narsiso@gmail.com,10.0,10.0,6.0,10.0,10.0,46.0
benjamin.zanthia@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
tristen.markiah@gatech.edu,7.0,10.0,10.0,10.0,10.0,47.0
boston.shyera@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
james.makaleb@gmail.com,5.0,10.0,7.0,10.0,9.0,41.0
justin.jernee@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
martha.twanetta@numera.consulting,10.0,10.0,10.0,10.0,10.0,50.0
kassandra.starshema@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
franklin.ginnette@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
kenneth.shontae@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
lester.yesmi@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
leigh.nadiyah@gatech.edu,10.0,10.0,9.0,5.0,10.0,44.0
jennifer.matea@gatech.edu,7.0,10.0,10.0,10.0,10.0,47.0
aubrey.keadyn@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
tracy.giovoni@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
glenda.ashritha@gmail.com,7.0,10.0,8.0,10.0,10.0,45.0
adelina.roxene@gmail.com,7.0,10.0,9.0,10.0,10.0,46.0
paul.paxson@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
eugene.chares@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
stella.latreace@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
brian.nansy@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
kathryn.colt@mycit.ie,10.0,10.0,10.0,5.0,10.0,45.0
kenneth.bryland@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
jonathan.waheedah@gmail.com,10.0,10.0,8.0,10.0,10.0,48.0
stacy.loneta@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
jamie.asadbek@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
sean.henrene@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
maximus.khingston@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
barbara.kalesi@gmail.com,10.0,10.0,9.0,5.0,10.0,44.0
timothy.bunita@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
iwao.jency@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
jason.jehlani@gmail.com,2.0,,,5.0,,7.0
carlos.nasra@gatech.edu,7.0,10.0,10.0,10.0,10.0,47.0
john.ladia@mycit.ie,10.0,10.0,10.0,10.0,10.0,50.0
brian.aloria@gmail.com,7.0,5.0,10.0,5.0,10.0,37.0
sierra.kyrsha@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
james.adeanna@email.arizona.edu,10.0,10.0,10.0,5.0,10.0,45.0
michelle.fionnlagh@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
mary.ceniyah@brunswickschool.org,7.0,10.0,8.0,0.0,10.0,35.0
breanna.abdulmalek@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
crystal.antwann@gmail.com,7.0,8.0,10.0,10.0,10.0,45.0
eric.tamiesha@gmail.com,10.0,8.0,10.0,5.0,7.0,40.0
charlene.cherree@gatech.edu,10.0,10.0,10.0,10.0,5.0,45.0
keith.saraiya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
gary.lamiek@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
joan.christineanne@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
vivian.kisher@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
dana.ashliegh@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
brodie.scottia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
andrew.rish@hotmail.com,10.0,10.0,6.5,10.0,10.0,46.5
jeffrey.raoof@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
angel.kaesha@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
kathy.tavaughn@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
michael.johnjack@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
jamilah.marcellyn@yahoo.com,10.0,10.0,10.0,10.0,6.0,46.0
steven.dashiya@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
john.terasa@gatech.edu,7.0,10.0,9.0,5.0,7.0,38.0
charity.rieley@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
dana.branch@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kathleen.morrigan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kimberly.nealon@gmail.com,10.0,10.0,1.0,2.0,1.0,24.0
lillyanna.dester@poczta.onet.pl,10.0,10.0,10.0,10.0,10.0,50.0
christopher.denean@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
frances.abigial@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
barbara.hatsumi@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
adena.talaiya@qq.com,10.0,10.0,10.0,10.0,6.0,46.0
michael.jakeil@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
sandra.rethia@gmail.com,10.0,10.0,8.0,5.0,10.0,43.0
george.kareema@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
michael.corderick@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
alex.yaret@gatech.edu,10.0,5.0,0.0,2.0,10.0,27.0
helana.khalyn@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
pamela.vigo@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
matthew.juhi@gmail.com,7.0,10.0,8.0,10.0,10.0,45.0
abraham.clairece@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
edwin.dakai@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
paul.derrin@hawk.iit.edu,10.0,10.0,10.0,10.0,10.0,50.0
judith.baelie@yahoo.com,10.0,10.0,10.0,10.0,6.0,46.0
hubert.kezlyn@yandex.ru,7.0,10.0,10.0,5.0,,32.0
tiare.capree@gatech.edu,10.0,8.0,9.5,10.0,10.0,47.5
peter.kadenn@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
steven.marleyrae@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
julia.tyrene@gatech.edu,7.0,10.0,9.0,5.0,1.0,32.0
elizabeth.shaiden@pwc.com,10.0,10.0,10.0,10.0,10.0,50.0
leta.kartier@gmail.com,10.0,10.0,6.0,10.0,10.0,46.0
geraldine.kingsolomon@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
dejon.lyrae@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
sanquita.yhadira@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sherry.ayleigh@aol.com,10.0,10.0,10.0,10.0,10.0,50.0
susan.arville@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
david.duella@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
jerry.zierre@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
perla.karynn@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
nichole.bertrice@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
anthony.rabi@hotmail.com,10.0,10.0,10.0,5.0,10.0,45.0
abigail.alizah@umich.edu,10.0,10.0,10.0,5.0,10.0,45.0
christian.kaiyon@gatech.edu,2.0,,,,,2.0
tiffany.rexlee@gmail.com,10.0,10.0,8.0,10.0,10.0,48.0
charles.jorelys@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
matthew.monise@hotmail.com,10.0,10.0,10.0,10.0,5.0,45.0
lowell.tylek@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
stephen.lakeema@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
jenae.torrence@gatech.edu,10.0,10.0,9.0,10.0,1.0,40.0
lukas.marcquise@gmail.com,7.0,10.0,10.0,5.0,10.0,42.0
claud.etheldreda@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jacob.talecia@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
lillian.pragna@gatech.edu,7.0,10.0,10.0,10.0,7.0,44.0
bobby.dezya@gmail.com,10.0,10.0,9.0,7.0,10.0,46.0
conrad.rhonisha@vt.edu,10.0,10.0,10.0,10.0,10.0,50.0
lynn.adarryll@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
harry.dafni@icloud.com,10.0,10.0,10.0,5.0,10.0,45.0
paul.jawaski@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
amanda.nikya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
shree.elica@gatech.edu,7.0,10.0,9.5,5.0,10.0,41.5
dominic.lexanni@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
danielle.kulsoom@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
florence.jenessa@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
melissa.sherral@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
jessica.rinda@gatech.edu,10.0,10.0,10.0,10.0,5.0,45.0
beckett.sameia@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
lindsey.kinard@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
olga.shane@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
xavier.lavesta@gmail.com,7.0,10.0,8.0,7.0,10.0,42.0
karina.tomea@ucr.edu,10.0,10.0,6.0,10.0,10.0,46.0
tina.starsky@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
ara.dagny@outlook.com,10.0,10.0,10.0,5.0,10.0,45.0
myron.caidin@gatech.edu,10.0,10.0,10.0,10.0,8.0,48.0
lauren.tonnisha@gmail.com,4.0,10.0,6.0,10.0,6.0,36.0
lillie.clover@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
matthew.amidala@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
mitchell.owin@gmail.com,10.0,10.0,9.0,5.0,10.0,44.0
barbara.khendra@gatech.edu,10.0,10.0,10.0,5.0,8.0,43.0
holly.chintan@msn.com,2.0,10.0,9.0,10.0,10.0,41.0
mary.pasquinel@gmail.com,10.0,10.0,,,0.0,20.0
joyce.adeel@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
susan.tedrina@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
jarrod.onas@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
lamar.rinya@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
mae.jarae@aol.com,10.0,7.0,7.0,5.0,,29.0
luke.joselen@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
kayla.pamalee@protonmail.com,7.0,10.0,9.0,5.0,,31.0
sarah.chee@ieee.org,10.0,10.0,10.0,10.0,10.0,50.0
rafael.kaston@gatech.edu,7.0,10.0,9.0,10.0,10.0,46.0
lily.hilry@gatech.edu,10.0,10.0,10.0,5.0,8.0,43.0
edgar.shifra@googlemail.com,10.0,10.0,10.0,5.0,10.0,45.0
james.sephiroth@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
delores.idele@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
philip.yoshinobu@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
charles.nando@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
olivia.geral@yahoo.com,10.0,10.0,10.0,10.0,7.0,47.0
joseph.sherburne@gmail.com,10.0,10.0,9.0,10.0,7.0,46.0
robert.larico@yahoo.com,10.0,10.0,10.0,5.0,10.0,45.0
amanda.hessa@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
alexandra.lacee@madlan.co.il,10.0,10.0,10.0,10.0,10.0,50.0
mark.trayvond@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
henry.wyomia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
david.harun@gmail.com,10.0,10.0,5.0,10.0,10.0,45.0
karen.tanji@gatech.edu,10.0,10.0,9.0,10.0,7.0,46.0
zuri.eilleen@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
elizabeth.eryc@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
alonso.tamarcus@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
robert.tolisha@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
sue.ikira@gmail.com,10.0,8.0,10.0,5.0,5.0,38.0
luis.jonn@gmail.com,10.0,10.0,3.0,10.0,10.0,43.0
william.piers@gmail.com,7.0,10.0,9.0,5.0,10.0,41.0
frank.ethelmae@yahoo.com,10.0,10.0,10.0,10.0,6.0,46.0
aaron.kyerra@foxmail.com,7.0,10.0,10.0,10.0,10.0,47.0
nancy.lebrandon@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
christian.miyisha@yahoo.com,10.0,10.0,10.0,10.0,,40.0
margaret.tim@protonmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ruth.laverl@yahoo.com,10.0,10.0,8.0,5.0,10.0,43.0
stephen.nycholas@gmail.com,10.0,10.0,8.0,10.0,,38.0
lucy.anouk@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
david.brandia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jason.jadian@gmail.com,7.0,10.0,10.0,5.0,7.0,39.0
ethel.gordon@uoregon.edu,10.0,10.0,10.0,10.0,10.0,50.0
brandon.jerrill@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
susan.analissa@enactdevelopment.com,10.0,10.0,10.0,5.0,10.0,45.0
angel.eddison@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
michael.kavayah@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
delaney.dshon@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
patricia.vernell@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
dashay.lanier@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
bonnie.dreylan@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
brian.tylicia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kayla.bhavna@gatech.edu,2.0,10.0,9.0,10.0,1.0,32.0
mary.daje@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
carolyn.cherin@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
anthoney.titania@gmail.com,10.0,,,,4.0,14.0
gary.adamina@mail.ccsf.edu,10.0,10.0,9.0,5.0,10.0,44.0
michelle.lawana@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
ruth.ayaa@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
latonya.ervena@gmail.com,10.0,10.0,8.0,5.0,10.0,43.0
omar.cheyton@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
lorita.theral@gatech.edu,7.0,9.0,7.0,5.0,2.0,30.0
lola.fysher@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
bailey.mckeyla@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
kaitlyn.asharie@gatech.edu,10.0,10.0,10.0,10.0,7.0,47.0
mark.lakara@yahoo.com,10.0,10.0,10.0,5.0,10.0,45.0
mary.wesner@gatech.edu,7.0,8.0,10.0,10.0,10.0,45.0
minnie.akaia@gmail.com,7.0,10.0,5.5,,10.0,32.5
patricia.ariha@gatech.edu,10.0,10.0,10.0,5.0,10.0,45.0
bonita.keneasha@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
rashad.datra@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
bennett.shelbert@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
laura.tyzier@hungperfect.com,10.0,10.0,10.0,5.0,10.0,45.0
charles.pavni@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
paul.laconya@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
kinley.milaysia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
henrietta.sorayda@gmail.com,7.0,7.0,10.0,10.0,10.0,44.0
devon.jayion@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ashley.zadiel@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
matthew.jacon@yahoo.com,10.0,10.0,10.0,10.0,7.0,47.0
margarita.zoli@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
john.armando@pentafoundation.org,10.0,10.0,10.0,10.0,10.0,50.0
audra.kayleh@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sampson.seine@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
mary.yahshua@gatech.edu,7.0,2.0,6.5,5.0,,20.5
katelyn.sala@hotmail.com,7.0,2.0,6.5,5.0,,20.5
john.briyelle@gatech.edu,10.0,10.0,9.0,10.0,10.0,49.0
stephen.clarance@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
robert.aveah@web.de,10.0,10.0,8.0,10.0,10.0,48.0
archer.arjay@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
barbara.khysen@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
crystal.chakayla@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
rebecca.latrea@gmail.com,10.0,10.0,8.0,10.0,10.0,48.0
gabrielle.javierjr@hotmail.com,10.0,10.0,10.0,10.0,7.0,47.0
nika.daija@gmail.com,10.0,10.0,9.0,10.0,6.0,45.0
kathleen.lonn@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
lisa.demerion@gmail.com,10.0,10.0,9.0,10.0,1.0,40.0
harold.phillip@gatech.edu,10.0,10.0,10.0,,,30.0
thomas.marlize@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
eric.xiah@icloud.com,7.0,5.0,5.0,5.0,1.0,23.0
savanna.montral@gatech.edu,7.0,10.0,10.0,10.0,10.0,47.0
samuel.anoria@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
shakyla.freta@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
cadence.monsserat@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
valerie.jamial@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
samantha.dreami@gmail.com,10.0,5.0,10.0,10.0,10.0,45.0
jenna.shaunah@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
hetty.jenyka@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
chris.jonithan@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
paul.kaylana@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
