Email,problem0,problem1,problem2,problem3,problem4
alexis.lareesa@gatech.edu,10,10,10,5,10
linda.sheyli@gmail.com,7,10,10,10,10
aaliyah.tayviona@gatech.edu,10,8,--------,5,--------
christopher.dailee@gmail.com,10,10,9,10,6
michael.dixy@gmail.com,10,10,10,10,10
gregory.shondell@gmail.com,10,10,10,10,10
arlyn.orlandra@gmail.com,10,10,10,10,10
andrew.jlah@hotmail.co.uk,10,10,10,5,10
randolph.nathalye@gmail.com,10,10,10,10,10
jeanine.antesha@gmail.com,10,10,10,10,10
sherrie.rury@gmail.com,10,10,10,10,10
abigail.lynnon@gmail.com,--------,0,--------,0,--------
richard.chontell@gmail.com,10,10,10,10,10
andrea.shayaan@gmail.com,7,10,9,5,10
kamil.keiarah@gmail.com,10,10,10,5,10
leena.roah@gatech.edu,10,10,10,10,10
matthew.wassil@gmail.com,4,10,--------,10,1
zitlaly.nester@valensdatalabs.com,10,10,10,5,10
larry.girlene@gmail.com,10,10,10,10,10
nikki.lysander@gmail.com,10,10,10,10,10
canaan.cynsere@hotmail.com,7,10,1,--------,--------
elijah.lareta@gatech.edu,5,10,10,10,10
thelma.ousman@gmail.com,10,7,8,0,0
hobart.malala@gmail.com,10,10,9,5,10
harry.narsiso@gmail.com,10,10,6,10,10
benjamin.zanthia@gatech.edu,10,10,10,10,10
tristen.markiah@gatech.edu,7,10,10,10,10
boston.shyera@gmail.com,10,10,10,5,10
james.makaleb@gmail.com,5,10,7,10,9
justin.jernee@gatech.edu,10,10,10,10,10
martha.twanetta@numera.consulting,10,10,10,10,10
kassandra.starshema@gatech.edu,10,10,10,10,10
franklin.ginnette@gmail.com,10,10,10,10,6
kenneth.shontae@gmail.com,10,10,10,10,6
lester.yesmi@gatech.edu,10,10,10,10,10
leigh.nadiyah@gatech.edu,10,10,9,5,10
jennifer.matea@gatech.edu,7,10,10,10,10
aubrey.keadyn@gmail.com,10,10,10,10,10
tracy.giovoni@gatech.edu,10,10,10,10,10
glenda.ashritha@gmail.com,7,10,8,10,10
adelina.roxene@gmail.com,7,10,9,10,10
paul.paxson@gatech.edu,10,10,10,10,10
eugene.chares@gatech.edu,10,10,10,5,10
stella.latreace@gmail.com,10,10,10,5,10
brian.nansy@gmail.com,10,10,10,5,10
kathryn.colt@mycit.ie,10,10,10,5,10
kenneth.bryland@gatech.edu,10,10,10,10,10
jonathan.waheedah@gmail.com,10,10,8,10,10
stacy.loneta@gmail.com,10,10,10,5,10
jamie.asadbek@gmail.com,10,10,10,5,10
sean.henrene@gmail.com,10,10,10,5,10
maximus.khingston@gmail.com,10,10,10,5,10
barbara.kalesi@gmail.com,10,10,9,5,10
timothy.bunita@gmail.com,10,10,10,5,10
iwao.jency@gmail.com,10,10,10,5,10
jason.jehlani@gmail.com,2,--------,--------,5,--------
carlos.nasra@gatech.edu,7,10,10,10,10
john.ladia@mycit.ie,10,10,10,10,10
brian.aloria@gmail.com,7,5,10,5,10
sierra.kyrsha@gatech.edu,10,10,10,10,10
james.adeanna@email.arizona.edu,10,10,10,5,10
michelle.fionnlagh@gmail.com,10,10,10,5,10
mary.ceniyah@brunswickschool.org,7,10,8,0,10
breanna.abdulmalek@gatech.edu,10,10,10,10,10
crystal.antwann@gmail.com,7,8,10,10,10
eric.tamiesha@gmail.com,10,8,10,5,7
charlene.cherree@gatech.edu,10,10,10,10,5
keith.saraiya@gmail.com,10,10,10,10,10
gary.lamiek@gmail.com,10,10,10,5,10
joan.christineanne@gmail.com,5,10,10,10,10
vivian.kisher@gmail.com,10,10,10,5,10
dana.ashliegh@gatech.edu,10,10,10,5,10
brodie.scottia@gmail.com,10,10,10,10,10
andrew.rish@hotmail.com,10,10,6.5,10,10
jeffrey.raoof@gmail.com,10,10,10,5,10
angel.kaesha@gatech.edu,10,10,10,10,10
kathy.tavaughn@gmail.com,10,10,10,5,10
michael.johnjack@gmail.com,10,10,10,5,10
jamilah.marcellyn@yahoo.com,10,10,10,10,6
steven.dashiya@gmail.com,10,10,10,10,6
john.terasa@gatech.edu,7,10,9,5,7
charity.rieley@gatech.edu,10,10,10,10,10
dana.branch@gmail.com,10,10,10,10,10
kathleen.morrigan@gmail.com,10,10,10,10,10
kimberly.nealon@gmail.com,10,10,1,2,1
lillyanna.dester@poczta.onet.pl,10,10,10,10,10
christopher.denean@gatech.edu,10,10,10,10,10
frances.abigial@gmail.com,10,10,10,5,10
barbara.hatsumi@gmail.com,10,10,10,10,6
adena.talaiya@qq.com,10,10,10,10,6
michael.jakeil@gmail.com,10,10,10,10,6
sandra.rethia@gmail.com,10,10,8,5,10
george.kareema@outlook.com,10,10,10,10,10
michael.corderick@gmail.com,10,10,10,5,10
alex.yaret@gatech.edu,10,5,0,2,10
helana.khalyn@gmail.com,10,10,10,10,10
pamela.vigo@gmail.com,10,10,10,10,10
matthew.juhi@gmail.com,7,10,8,10,10
abraham.clairece@gmail.com,10,10,10,10,10
edwin.dakai@gmail.com,10,10,10,10,10
paul.derrin@hawk.iit.edu,10,10,10,10,10
judith.baelie@yahoo.com,10,10,10,10,6
hubert.kezlyn@yandex.ru,7,10,10,5,--------
tiare.capree@gatech.edu,10,8,9.5,10,10
peter.kadenn@gmail.com,10,10,10,10,6
steven.marleyrae@gmail.com,10,10,10,10,10
julia.tyrene@gatech.edu,7,10,9,5,1
elizabeth.shaiden@pwc.com,10,10,10,10,10
leta.kartier@gmail.com,10,10,6,10,10
geraldine.kingsolomon@gatech.edu,10,10,10,5,10
dejon.lyrae@gmail.com,10,10,10,10,6
sanquita.yhadira@gmail.com,10,10,10,10,10
sherry.ayleigh@aol.com,10,10,10,10,10
susan.arville@gatech.edu,10,10,10,5,10
david.duella@gmail.com,5,10,10,10,10
jerry.zierre@gmail.com,10,10,10,10,10
perla.karynn@gatech.edu,10,10,10,5,10
nichole.bertrice@gmail.com,10,10,10,5,10
anthony.rabi@hotmail.com,10,10,10,5,10
abigail.alizah@umich.edu,10,10,10,5,10
christian.kaiyon@gatech.edu,2,--------,--------,--------,--------
tiffany.rexlee@gmail.com,10,10,8,10,10
charles.jorelys@gmail.com,10,10,10,10,10
matthew.monise@hotmail.com,10,10,10,10,5
lowell.tylek@gatech.edu,10,10,10,10,6
stephen.lakeema@gatech.edu,10,10,10,10,10
jenae.torrence@gatech.edu,10,10,9,10,1
lukas.marcquise@gmail.com,7,10,10,5,10
claud.etheldreda@gmail.com,10,10,10,10,10
jacob.talecia@gmail.com,10,10,10,5,10
lillian.pragna@gatech.edu,7,10,10,10,7
bobby.dezya@gmail.com,10,10,9,7,10
conrad.rhonisha@vt.edu,10,10,10,10,10
lynn.adarryll@gmail.com,10,10,10,5,10
harry.dafni@icloud.com,10,10,10,5,10
paul.jawaski@gmail.com,10,10,10,10,5
amanda.nikya@gmail.com,10,10,10,10,10
shree.elica@gatech.edu,7,10,9.5,5,10
dominic.lexanni@gmail.com,10,10,10,5,10
danielle.kulsoom@gmail.com,10,10,10,10,10
florence.jenessa@gmail.com,10,10,10,5,10
melissa.sherral@gmail.com,10,10,10,5,10
jessica.rinda@gatech.edu,10,10,10,10,5
beckett.sameia@gatech.edu,10,10,10,5,10
lindsey.kinard@hotmail.com,10,10,10,10,10
olga.shane@gatech.edu,10,10,10,10,10
xavier.lavesta@gmail.com,7,10,8,7,10
karina.tomea@ucr.edu,10,10,6,10,10
tina.starsky@outlook.com,10,10,10,10,10
ara.dagny@outlook.com,10,10,10,5,10
myron.caidin@gatech.edu,10,10,10,10,8
lauren.tonnisha@gmail.com,4,10,6,10,6
lillie.clover@gatech.edu,10,10,10,5,10
matthew.amidala@gmail.com,10,10,10,5,10
mitchell.owin@gmail.com,10,10,9,5,10
barbara.khendra@gatech.edu,10,10,10,5,8
holly.chintan@msn.com,2,10,9,10,10
mary.pasquinel@gmail.com,10,10,--------,--------,0
joyce.adeel@gmail.com,10,10,10,10,10
susan.tedrina@gatech.edu,10,10,10,5,10
jarrod.onas@gatech.edu,10,10,10,5,10
lamar.rinya@yahoo.com,10,10,10,10,10
mae.jarae@aol.com,10,7,7,5,--------
luke.joselen@gatech.edu,10,10,10,5,10
kayla.pamalee@protonmail.com,7,10,9,5,--------
sarah.chee@ieee.org,10,10,10,10,10
rafael.kaston@gatech.edu,7,10,9,10,10
lily.hilry@gatech.edu,10,10,10,5,8
edgar.shifra@googlemail.com,10,10,10,5,10
james.sephiroth@gmail.com,10,10,10,10,6
delores.idele@gmail.com,10,10,10,10,10
philip.yoshinobu@gmail.com,10,10,10,10,10
charles.nando@gmail.com,10,10,10,10,10
olivia.geral@yahoo.com,10,10,10,10,7
joseph.sherburne@gmail.com,10,10,9,10,7
robert.larico@yahoo.com,10,10,10,5,10
amanda.hessa@gatech.edu,10,10,10,10,10
alexandra.lacee@madlan.co.il,10,10,10,10,10
mark.trayvond@gatech.edu,10,10,10,10,10
henry.wyomia@gmail.com,10,10,10,10,10
david.harun@gmail.com,10,10,5,10,10
karen.tanji@gatech.edu,10,10,9,10,7
zuri.eilleen@gatech.edu,10,10,10,5,10
elizabeth.eryc@gmail.com,10,10,10,5,10
alonso.tamarcus@gmail.com,10,10,10,5,10
robert.tolisha@gatech.edu,10,10,10,5,10
sue.ikira@gmail.com,10,8,10,5,5
luis.jonn@gmail.com,10,10,3,10,10
william.piers@gmail.com,7,10,9,5,10
frank.ethelmae@yahoo.com,10,10,10,10,6
aaron.kyerra@foxmail.com,7,10,10,10,10
nancy.lebrandon@gmail.com,10,10,10,5,10
christian.miyisha@yahoo.com,10,10,10,10,--------
margaret.tim@protonmail.com,10,10,10,10,10
ruth.laverl@yahoo.com,10,10,8,5,10
stephen.nycholas@gmail.com,10,10,8,10,--------
lucy.anouk@gmail.com,7,10,10,10,10
david.brandia@gmail.com,10,10,10,10,10
jason.jadian@gmail.com,7,10,10,5,7
ethel.gordon@uoregon.edu,10,10,10,10,10
brandon.jerrill@gatech.edu,10,10,10,10,10
susan.analissa@enactdevelopment.com,10,10,10,5,10
angel.eddison@gmail.com,10,10,10,10,10
michael.kavayah@gatech.edu,10,10,10,10,10
delaney.dshon@gmail.com,10,10,10,5,10
patricia.vernell@gmail.com,10,10,10,10,6
dashay.lanier@gmail.com,10,10,10,5,10
bonnie.dreylan@gatech.edu,10,10,10,10,10
brian.tylicia@gmail.com,10,10,10,10,10
kayla.bhavna@gatech.edu,2,10,9,10,1
mary.daje@gmail.com,10,10,10,5,10
carolyn.cherin@gmail.com,7,10,10,10,10
anthoney.titania@gmail.com,10,--------,--------,--------,4
gary.adamina@mail.ccsf.edu,10,10,9,5,10
michelle.lawana@gmail.com,10,10,10,5,10
ruth.ayaa@gmail.com,10,10,10,10,10
latonya.ervena@gmail.com,10,10,8,5,10
omar.cheyton@gatech.edu,10,10,10,5,10
lorita.theral@gatech.edu,7,9,7,5,2
lola.fysher@gmail.com,10,10,10,10,10
bailey.mckeyla@gatech.edu,10,10,10,10,10
kaitlyn.asharie@gatech.edu,10,10,10,10,7
mark.lakara@yahoo.com,10,10,10,5,10
mary.wesner@gatech.edu,7,8,10,10,10
minnie.akaia@gmail.com,7,10,5.5,--------,10
patricia.ariha@gatech.edu,10,10,10,5,10
bonita.keneasha@gatech.edu,10,10,10,10,10
rashad.datra@gmail.com,10,10,10,10,10
bennett.shelbert@gmail.com,10,10,10,10,10
laura.tyzier@hungperfect.com,10,10,10,5,10
charles.pavni@gmail.com,10,10,10,5,10
paul.laconya@gmail.com,10,10,10,5,10
kinley.milaysia@gmail.com,10,10,10,10,10
henrietta.sorayda@gmail.com,7,7,10,10,10
devon.jayion@gmail.com,10,10,10,10,10
ashley.zadiel@gmail.com,10,10,10,10,10
matthew.jacon@yahoo.com,10,10,10,10,7
margarita.zoli@gmail.com,10,10,10,5,10
john.armando@pentafoundation.org,10,10,10,10,10
audra.kayleh@gmail.com,10,10,10,10,10
sampson.seine@gatech.edu,10,10,10,10,10
mary.yahshua@gatech.edu,7,2,6.5,5,--------
katelyn.sala@hotmail.com,7,2,6.5,5,--------
john.briyelle@gatech.edu,10,10,9,10,10
stephen.clarance@gmail.com,10,10,10,5,10
robert.aveah@web.de,10,10,8,10,10
archer.arjay@gmail.com,10,10,10,5,10
barbara.khysen@gmail.com,10,10,10,10,10
crystal.chakayla@gmail.com,10,10,10,10,10
rebecca.latrea@gmail.com,10,10,8,10,10
gabrielle.javierjr@hotmail.com,10,10,10,10,7
nika.daija@gmail.com,10,10,9,10,6
kathleen.lonn@outlook.com,10,10,10,10,10
lisa.demerion@gmail.com,10,10,9,10,1
harold.phillip@gatech.edu,10,10,10,--------,--------
thomas.marlize@gmail.com,10,10,10,10,10
eric.xiah@icloud.com,7,5,5,5,1
savanna.montral@gatech.edu,7,10,10,10,10
samuel.anoria@gmail.com,10,10,10,10,10
shakyla.freta@gmail.com,10,10,10,10,10
cadence.monsserat@gmail.com,10,10,10,5,10
valerie.jamial@gmail.com,10,10,10,10,10
samantha.dreami@gmail.com,10,5,10,10,10
jenna.shaunah@gmail.com,10,10,10,10,10
hetty.jenyka@gmail.com,10,10,10,10,10
chris.jonithan@gmail.com,10,10,10,5,10
paul.kaylana@gatech.edu,10,10,10,10,10
christopher.josericardo@gmail.com,10,10,10,5,10
jordan.reyanne@gmail.com,10,10,10,5,10
sheila.vananh@gmail.com,7,10,9,5,10
william.keida@gmail.com,5,--------,--------,10,4
annie.jaethan@mail.ru,5,10,10,10,10
debra.shaheer@gmail.com,10,10,10,10,10
juancarlos.carrye@gatech.edu,10,10,10,10,6
jeffery.martrail@gatech.edu,10,10,10,10,10
ellie.jodean@gmail.com,10,10,10,10,10
inez.michol@gatech.edu,10,8,5.5,0,10
alonzo.tyrell@gmail.com,10,10,10,10,6
joseph.shariden@gmail.com,10,10,10,5,10
robert.sebern@gmail.com,7,10,10,10,10
patricia.flodie@gatech.edu,10,10,10,10,10
sean.maizley@gmail.com,10,7,8,10,10
elliott.ehlana@gmail.com,10,10,10,10,10
abigail.lanty@gatech.edu,10,10,9,10,6
luke.lexe@gatech.edu,10,10,10,10,10
anita.sinclaire@yahoo.com,10,10,10,10,10
scarlett.abyssinia@gatech.edu,10,10,10,10,6
julene.yovanni@unal.edu.co,10,10,10,10,10
stephanie.lylarae@gatech.edu,10,10,10,10,10
eric.sridevi@hotmail.com,10,10,10,5,10
harry.shiane@e.ntu.edu.sg,10,10,10,5,10
sharon.daionna@gatech.edu,10,10,10,10,10
david.zackaree@gmail.com,5,10,10,10,10
milagros.victorialynn@gmail.com,10,10,10,10,10
jacob.ozkar@gmail.com,10,10,10,5,10
fernando.djaun@iiitdm.ac.in,10,10,10,10,10
william.artricia@vcu.edu,10,10,10,5,10
cecelia.iraa@queensu.ca,10,10,10,10,7
david.zarak@gmail.com,10,10,10,10,10
marie.mehrish@gmail.com,10,10,10,10,6
jacolyn.deborahh@live.de,10,10,10,10,10
molly.makensey@gmail.com,5,10,10,5,10
charles.tocha@gmail.com,10,8,8,10,6
tom.wallice@gmail.com,10,10,10,5,10
stanley.denaly@gmail.com,7,10,10,10,10
mason.haskell@gatech.edu,10,5,0,7,1
charles.purdy@hotmail.com,10,10,10,5,10
andres.lynlie@gmail.com,7,--------,--------,--------,--------
gracie.keshav@gmail.com,10,10,10,10,10
shannon.khalanii@gatech.edu,10,10,10,10,10
jasmin.marjona@gmail.com,10,10,10,10,4
demetrie.randin@gmail.com,10,10,10,5,10
john.mckoy@nu.edu.kz,10,10,10,10,10
deandre.jazzabella@gmail.com,7,10,10,5,1
ben.zaida@gatech.edu,10,10,10,5,10
laura.kandyce@gatech.edu,2,2,--------,--------,--------
terry.shantrece@gmail.com,10,10,10,5,10
marco.avry@gmail.com,10,10,10,10,10
mollie.gaines@gmail.com,10,10,10,5,10
ora.ahnjayla@gatech.edu,10,10,10,10,10
donald.hendrick@gmail.com,10,8,10,10,7
elijah.tyteona@gmail.com,0,2,--------,--------,--------
patt.dolora@gmail.com,10,10,10,10,10
kristina.lichelle@hotmail.com,7,10,10,5,1
john.sujit@gmail.com,10,10,10,10,10
galen.marilia@gmail.com,10,9,10,10,10
rita.sidny@gmail.com,10,10,10,10,10
martha.teadra@gmail.com,--------,0,--------,--------,0
daniel.cuauhtli@gmail.com,10,10,10,5,10
patricia.breely@gmail.com,10,10,10,5,10
dana.madisonrose@yahoo.fr,10,10,10,10,6
clarence.wyhatt@gatech.edu,10,10,10,10,10
sharon.vandana@gmail.com,10,10,6,10,10
mae.renzie@aol.com,7,10,8,5,10
analysa.taisiya@gmail.com,10,10,10,10,10
courtney.daymeon@alum.lehigh.edu,7,10,9,5,1
thomas.lucillia@asu.edu,10,10,10,10,10
jason.lovett@outlook.com,10,10,10,10,10
michael.meleyah@gmail.com,10,10,10,10,10
gabriella.keylee@gmail.com,7,10,--------,--------,3
monica.ahron@gmail.com,10,10,10,10,10
gael.iduma@hotmail.com,10,10,8,5,6
lester.sabrynn@gatech.edu,10,10,10,10,1
james.miina@gmail.com,10,10,10,5,10
faye.daly@yahoo.com,10,10,10,5,10
frankie.mihit@gatech.edu,7,2,--------,--------,--------
connie.westlan@hotmail.com,10,5,6,10,1
pauline.trechelle@gmail.com,10,10,7,10,10
ashley.ahmia@gatech.edu,10,10,10,5,10
david.luchia@gmail.com,10,10,10,10,10
joy.jaceion@gmail.com,10,10,10,5,10
david.naheem@protonmail.com,10,10,10,5,6
james.amiee@gmail.com,10,10,10,10,6
vickie.tkiyah@gatech.edu,7,2,--------,--------,--------
gloria.zaed@gmail.com,10,10,10,10,10
michael.vanelope@t-mobile.com,10,10,10,5,10
robert.eila@edna.tech,10,10,10,10,6
norine.hiliary@gmail.com,0,10,7,10,9
allie.jatziry@gmail.com,2,10,10,5,1
lajuan.schmika@gmail.com,10,10,10,10,10
leonard.fidensio@valensdatalabs.com,7,10,8,10,10
nina.alvin@gmail.com,10,10,10,10,10
alana.dasianae@me.com,10,10,10,10,10
nancy.saba@yahoo.com,10,10,10,2,1
john.kyelee@gatech.edu,7,10,10,5,10
ethan.lakeyia@gatech.edu,10,10,8,10,7
jason.saveria@gmail.com,10,10,10,10,10
carlyn.teffany@gmail.com,10,10,10,10,10
braylon.tecia@livemail.tw,7,8,6,5,--------
denise.rickayla@gmail.com,10,10,10,10,10
cecelia.umit@gatech.edu,10,8,10,5,10
louise.aaravi@hotmail.com,10,10,10,10,10
jillian.myler@gmail.com,10,10,10,10,1
alexandra.kogan@gmail.com,10,10,10,10,1
derrick.sacario@gatech.edu,10,10,10,10,10
henry.renasia@gatech.edu,10,10,10,10,10
winston.wymon@gmail.com,10,10,7,10,10
mary.damarte@gmail.com,10,10,10,10,10
patrick.zyrion@gmail.com,10,10,10,5,10
justin.zende@yahoo.com,10,10,10,10,10
meredith.rakyla@hotmail.com,10,10,10,5,10
catherine.kristey@gmail.com,10,10,10,5,10
kyler.kimya@gmail.com,10,10,6,10,10
samiel.yustin@gatech.edu,10,10,10,10,10
gerardo.allesha@gmail.com,10,10,10,10,10
mark.allysia@gmail.com,10,10,10,5,4
kiesha.millard@gmail.com,7,10,10,5,--------
amanda.dvyne@gatech.edu,10,10,10,10,10
micheal.glenola@gatech.edu,10,10,10,10,6
landen.micaela@gmail.com,2,10,--------,10,1
bryan.carmindy@umn.edu,10,10,9,5,10
johnny.anass@gmail.com,10,10,10,5,10
edgar.paishance@umn.edu,7,10,10,--------,--------
patricia.richardjames@gmail.com,10,10,10,10,10
randall.bedelia@gmail.com,10,10,10,10,10
jessica.sakya@gatech.edu,10,10,10,5,10
maude.joxiel@gmail.com,10,10,9,5,1
jackie.barrion@live.de,10,10,10,5,10
marianne.terianna@gmail.com,10,10,10,5,10
matthew.taw@gmail.com,10,10,6,10,10
sherree.jamesena@hotmail.com,7,10,9,5,8
jayson.kineta@gatech.edu,10,10,10,10,10
chelsea.dilann@gatech.edu,10,10,10,5,5
gary.ashyia@mail.ru,10,10,10,10,6
ruth.giovanny@hotmail.co.uk,10,10,10,10,10
jose.lakeeshia@rocketmail.com,10,10,10,10,10
noah.jamea@gmail.com,10,10,10,5,10
ashir.clintin@gatech.edu,10,10,10,10,7
meghan.karlotta@gatech.edu,10,10,10,10,10
dorothy.leycester@gmail.com,10,10,10,5,10
jordan.trenetta@gmail.com,2,2,--------,5,--------
joseph.neethu@gmail.com,10,10,10,5,10
rosemary.kevondrick@gmail.com,10,10,10,5,10
christopher.jullianne@gatech.edu,7,2,8,5,10
jennifer.menashe@iiitdm.ac.in,2,10,10,10,1
alexander.rollan@gatech.edu,10,10,10,5,10
oliver.caila@gatech.edu,10,10,10,10,10
kayli.christyn@gmail.com,10,10,8,0,0
linda.jamise@gatech.edu,10,10,10,10,10
eli.sascha@yahoo.com,4,7,6,10,10
barrett.wayland@gmail.com,10,10,10,10,10
scott.tyreka@gatech.edu,10,10,10,10,8
mary.kavaris@gmail.com,10,10,9,10,6
jesus.monserrath@gmail.com,10,10,10,10,7
sharilyn.elvana@gmail.com,10,10,10,10,6
arthur.donnaven@rabobank.nl,10,10,10,10,10
taryn.raneshia@yahoo.co.id,7,10,6.5,5,10
betsy.edwynn@mac.com,7,10,10,10,10
harper.lemorris@gmail.com,10,10,9,10,6
sarah.sheylin@gmail.com,10,10,10,10,10
albert.averley@gmail.com,10,2,8,10,10
lisa.hovik@gmail.com,10,10,10,10,4
amaya.krew@gmail.com,10,10,10,5,10
fernando.jenzel@gmail.com,10,10,10,5,10
george.eliyan@gmail.com,10,10,10,5,10
patricia.zuber@gmail.com,10,10,8,10,10
alex.mesias@gmail.com,10,10,9,10,6
eros.nishaan@gatech.edu,7,0,--------,--------,--------
daniel.niemah@gmail.com,10,10,10,5,10
richard.marshaye@gmail.com,10,10,10,10,10
george.roa@hotmail.com,7,10,10,10,10
nikolaj.correne@att.net,10,10,10,10,10
linda.shavonya@gmail.com,7,--------,--------,--------,--------
cheryl.jaimir@hotmail.com,10,10,10,5,10
melanie.richana@gmail.com,10,10,10,5,10
laila.marae@gatech.edu,10,10,10,5,10
connor.amilliona@gatech.edu,7,10,10,10,10
tory.shritha@gmail.com,10,10,10,5,10
edwin.felesha@gmail.com,10,10,2,5,10
craig.doraine@gmail.com,10,10,10,5,10
deborah.quinneshia@gmail.com,10,10,10,10,10
thomas.dyanni@gmail.com,10,10,9,10,5
kristopher.erandi@gmail.com,10,10,6,5,--------
natalie.wandell@gmail.com,10,10,--------,--------,--------
wm.charrisse@gatech.edu,10,10,10,10,10
diane.mareo@gmail.com,7,5,8,10,6
michael.karryn@gmail.com,7,7,8,--------,1
eugene.glema@hotmail.com,7,10,10,10,10
evan.kuhao@gatech.edu,7,--------,6.5,5,10
jarvis.avitaz@gmail.com,10,10,10,5,10
david.viletta@gmail.com,10,10,6,10,10
randy.adeliz@northsouth.edu,10,10,10,10,10
robert.burnest@gmail.com,10,5,10,10,10
chanel.hooria@hotmail.com,10,10,10,10,10
paxton.maragret@gmail.com,10,10,10,10,10
llewellyn.tsurue@gmail.com,10,10,10,5,10
christopher.sharad@hotmail.com,7,10,10,--------,--------
