Email,problem0,problem1,problem2,problem3,problem4,problem5,Earned
john.bergin@gatech.edu,7.5,10.0,,8.0,0.0,9.0,34.5
henry.marcenia@hel.fi,10.0,10.0,3.0,0.0,5.0,5.0,33.0
jack.othmar@gmail.com,7.5,10.0,,2.0,5.0,9.0,33.5
richard.chontell@gmail.com,5.5,10.0,,3.0,,10.0,28.5
coltin.taliya@hotmail.com,7.5,10.0,3.0,10.0,5.0,10.0,45.5
maryanne.kayge@gmail.com,10.0,10.0,2.0,9.0,,4.0,35.0
susan.arville@gatech.edu,10.0,10.0,8.0,3.0,5.0,10.0,46.0
conrad.rhonisha@vt.edu,10.0,10.0,6.0,2.0,5.0,2.0,35.0
elijah.lareta@gatech.edu,5.0,10.0,3.0,2.0,1.0,10.0,31.0
lyrik.tasmine@hotmail.com,10.0,10.0,2.0,10.0,10.0,10.0,52.0
patricia.richardjames@gmail.com,10.0,10.0,2.0,,0.0,10.0,32.0
myron.caidin@gatech.edu,10.0,10.0,8.0,3.0,1.0,2.0,34.0
lynn.adarryll@gmail.com,,10.0,8.0,3.0,,10.0,31.0
gerardo.allesha@gmail.com,10.0,10.0,2.0,3.0,10.0,10.0,45.0
lillian.pragna@gatech.edu,7.5,10.0,1.0,,3.0,10.0,31.5
gary.lamiek@gmail.com,7.5,10.0,8.0,,,10.0,35.5
joy.jaceion@gmail.com,9.0,10.0,4.0,2.0,3.0,9.0,37.0
elizabeth.america@gmail.com,10.0,10.0,2.0,4.0,10.0,10.0,46.0
mary.amedio@gatech.edu,10.0,10.0,1.0,,10.0,4.0,35.0
mary.daje@gmail.com,9.0,10.0,5.0,0.0,6.0,4.0,34.0
aaliyah.tayviona@gatech.edu,10.0,10.0,3.0,2.0,5.0,9.0,39.0
susan.analissa@enactdevelopment.com,7.5,10.0,2.0,3.0,3.0,5.0,30.5
boston.shyera@gmail.com,2.5,10.0,2.0,2.0,3.0,4.0,23.5
zitlaly.nester@valensdatalabs.com,10.0,10.0,2.0,10.0,1.0,4.0,37.0
kamil.keiarah@gmail.com,10.0,10.0,2.0,,5.0,4.0,31.0
philip.yoshinobu@gmail.com,10.0,10.0,2.0,0.0,1.0,4.0,27.0
leonard.fidensio@valensdatalabs.com,2.5,10.0,3.0,2.0,3.0,10.0,30.5
beckett.sameia@gatech.edu,8.0,10.0,2.0,,1.0,4.0,25.0
debra.shaheer@gmail.com,,10.0,5.0,10.0,2.0,10.0,37.0
payton.michoel@gmail.com,,10.0,7.0,,10.0,9.0,36.0
thomas.marlize@gmail.com,10.0,10.0,8.0,3.0,3.0,10.0,44.0
jessica.rinda@gatech.edu,,10.0,1.0,,,8.0,19.0
rebecca.latrea@gmail.com,9.0,10.0,6.0,7.0,3.0,10.0,45.0
jose.lakeeshia@rocketmail.com,10.0,10.0,5.0,10.0,,10.0,45.0
nikki.lysander@gmail.com,10.0,10.0,8.0,3.0,1.0,10.0,42.0
michael.volvi@gatech.edu,10.0,10.0,2.0,10.0,5.0,10.0,47.0
carlos.nasra@gatech.edu,7.5,10.0,2.0,2.0,10.0,10.0,41.5
brian.aloria@gmail.com,,10.0,2.0,2.0,3.0,5.0,22.0
ethel.gordon@uoregon.edu,10.0,7.0,8.0,7.0,8.0,5.0,45.0
shree.elica@gatech.edu,7.5,10.0,2.0,3.0,,9.0,31.5
mitchell.owin@gmail.com,4.5,10.0,2.0,0.0,3.0,4.0,23.5
bryce.daziah@gmail.com,7.5,10.0,3.0,5.0,3.0,10.0,38.5
charlene.cherree@gatech.edu,7.5,10.0,3.0,,5.0,5.0,30.5
jeanine.antesha@gmail.com,7.5,10.0,8.0,2.0,3.0,9.0,39.5
james.sephiroth@gmail.com,2.5,10.0,2.0,3.0,5.0,10.0,32.5
samantha.dreami@gmail.com,10.0,10.0,2.0,3.0,1.0,2.0,28.0
andrea.shayaan@gmail.com,9.0,10.0,1.0,4.0,3.0,5.0,32.0
mary.wesner@gatech.edu,7.5,10.0,2.0,2.0,3.0,9.0,33.5
heather.vedah@gmail.com,7.5,7.0,1.0,,1.0,10.0,26.5
david.viletta@gmail.com,7.5,10.0,3.0,2.0,3.0,10.0,35.5
edward.elizaida@gatech.edu,2.5,10.0,1.0,2.0,10.0,10.0,35.5
karin.abbey@gmail.com,7.5,10.0,2.0,5.0,3.0,5.0,32.5
alonso.tamarcus@gmail.com,7.5,10.0,2.0,2.0,8.0,8.0,37.5
charles.pavni@gmail.com,10.0,10.0,1.0,6.0,8.0,10.0,45.0
thomas.dyanni@gmail.com,4.5,10.0,9.0,,10.0,10.0,43.5
jennifer.menashe@iiitdm.ac.in,7.5,7.0,2.0,0.0,1.0,9.0,26.5
michael.jakeil@gmail.com,10.0,10.0,5.0,3.0,1.0,10.0,39.0
patricia.flodie@gatech.edu,7.5,10.0,1.0,0.0,0.0,10.0,28.5
sean.maizley@gmail.com,10.0,10.0,1.0,7.0,10.0,4.0,42.0
zuri.eilleen@gatech.edu,10.0,10.0,6.0,9.0,5.0,5.0,45.0
leigh.nadiyah@gatech.edu,7.5,10.0,2.0,2.0,3.0,5.0,29.5
brodie.scottia@gmail.com,10.0,10.0,9.0,7.0,,10.0,46.0
destiny.charnaye@gatech.edu,10.0,10.0,10.0,10.0,10.0,10.0,60.0
mary.ceniyah@brunswickschool.org,7.5,10.0,2.0,0.0,0.0,9.0,28.5
dominic.lexanni@gmail.com,7.5,10.0,4.0,2.0,3.0,10.0,36.5
ron.mariadelosangel@gmail.com,8.0,10.0,8.0,2.0,3.0,9.0,40.0
joyce.adeel@gmail.com,7.5,10.0,2.0,0.0,3.0,10.0,32.5
john.armando@pentafoundation.org,10.0,10.0,9.0,6.0,5.0,9.0,49.0
juancarlos.carrye@gatech.edu,10.0,10.0,8.0,7.0,5.0,5.0,45.0
aubrey.keadyn@gmail.com,7.5,10.0,9.0,3.0,,4.0,33.5
kathy.tavaughn@gmail.com,9.0,10.0,3.0,4.0,1.0,7.0,34.0
holly.chintan@msn.com,7.5,10.0,1.0,7.0,3.0,10.0,38.5
iwao.jency@gmail.com,10.0,10.0,3.0,5.0,3.0,4.0,35.0
mary.pasquinel@gmail.com,10.0,7.0,3.0,0.0,3.0,4.0,27.0
alexander.rollan@gatech.edu,7.5,10.0,,9.0,10.0,10.0,46.5
justin.zende@yahoo.com,7.5,10.0,6.0,8.0,1.0,10.0,42.5
virginia.marqell@gmail.com,10.0,10.0,2.0,,10.0,4.0,36.0
luis.jonn@gmail.com,7.5,5.0,1.0,,,10.0,23.5
michael.johnjack@gmail.com,10.0,10.0,8.0,0.0,10.0,9.0,47.0
charles.jorelys@gmail.com,10.0,10.0,2.0,,10.0,10.0,42.0
cathy.abdula@gmail.com,10.0,10.0,3.0,2.0,0.0,2.0,27.0
ruth.ayaa@gmail.com,10.0,10.0,3.0,8.0,5.0,10.0,46.0
mae.renzie@aol.com,10.0,10.0,2.0,0.0,5.0,9.0,36.0
kathleen.morrigan@gmail.com,10.0,10.0,2.0,2.0,3.0,10.0,37.0
hayden.mixtly@ieee.org,10.0,10.0,2.0,10.0,1.0,9.0,42.0
lindsey.kinard@hotmail.com,7.5,10.0,8.0,,1.0,9.0,35.5
jonathan.waheedah@gmail.com,,10.0,2.0,10.0,10.0,10.0,42.0
david.brandia@gmail.com,10.0,10.0,10.0,10.0,10.0,10.0,60.0
laura.tyzier@hungperfect.com,10.0,10.0,7.0,0.0,10.0,10.0,47.0
christopher.denean@gatech.edu,2.5,10.0,2.0,2.0,3.0,10.0,29.5
mary.damarte@gmail.com,10.0,10.0,6.0,,10.0,10.0,46.0
jenna.shaunah@gmail.com,10.0,10.0,5.0,,5.0,10.0,40.0
chad.kamiyra@gatech.edu,10.0,10.0,9.0,10.0,10.0,4.0,53.0
michael.kavayah@gatech.edu,10.0,10.0,7.0,10.0,5.0,4.0,46.0
abraham.clairece@gmail.com,10.0,10.0,8.0,10.0,5.0,2.0,45.0
dejon.lyrae@gmail.com,9.0,10.0,9.0,2.0,8.0,10.0,48.0
jeffrey.raoof@gmail.com,5.5,10.0,2.0,,3.0,10.0,30.5
martha.twanetta@numera.consulting,4.5,10.0,1.0,10.0,3.0,4.0,32.5
allie.jatziry@gmail.com,10.0,10.0,2.0,3.0,,10.0,35.0
kiesha.millard@gmail.com,10.0,10.0,2.0,10.0,3.0,2.0,37.0
jessica.sakya@gatech.edu,10.0,10.0,2.0,10.0,1.0,2.0,35.0
kenneth.bryland@gatech.edu,10.0,10.0,7.0,,10.0,9.0,46.0
tiffany.rexlee@gmail.com,7.5,10.0,2.0,2.0,10.0,9.0,40.5
jerry.zierre@gmail.com,,10.0,8.0,10.0,10.0,10.0,48.0
julia.tyrene@gatech.edu,7.5,10.0,3.0,,10.0,10.0,40.5
matthew.juhi@gmail.com,5.5,10.0,6.0,,1.0,9.0,31.5
nichole.bertrice@gmail.com,10.0,10.0,7.0,7.0,10.0,9.0,53.0
geraldine.kingsolomon@gatech.edu,7.5,10.0,2.0,,3.0,9.0,31.5
lukas.marcquise@gmail.com,2.5,10.0,8.0,,8.0,9.0,37.5
sanquita.yhadira@gmail.com,9.0,10.0,7.0,8.0,10.0,10.0,54.0
dashay.lanier@gmail.com,10.0,10.0,5.0,3.0,5.0,4.0,37.0
lowell.tylek@gatech.edu,7.5,10.0,8.0,,8.0,10.0,43.5
william.artricia@vcu.edu,5.5,7.0,3.0,2.0,3.0,10.0,30.5
jenae.torrence@gatech.edu,7.5,10.0,3.0,0.0,1.0,10.0,31.5
lauren.tonnisha@gmail.com,3.5,10.0,1.0,,,10.0,24.5
brandon.jerrill@gatech.edu,7.5,10.0,6.0,5.0,10.0,9.0,47.5
jason.saveria@gmail.com,10.0,7.0,8.0,3.0,5.0,10.0,43.0
timothy.bunita@gmail.com,7.5,10.0,1.0,,,10.0,28.5
harry.dafni@icloud.com,7.5,7.0,3.0,0.0,0.0,10.0,27.5
rita.devun@gmail.com,10.0,10.0,1.0,0.0,1.0,9.0,31.0
devan.sameya@gmail.com,10.0,10.0,2.0,3.0,3.0,5.0,33.0
melissa.sherral@gmail.com,7.5,10.0,3.0,2.0,5.0,10.0,37.5
janet.tenaj@gmail.com,7.0,10.0,3.0,,0.0,4.0,24.0
thomas.lucillia@asu.edu,10.0,10.0,3.0,2.0,3.0,9.0,37.0
blair.olivianna@gmail.com,10.0,10.0,10.0,5.0,10.0,10.0,55.0
paul.jawaski@gmail.com,7.5,10.0,8.0,2.0,1.0,10.0,38.5
noah.jamea@gmail.com,7.5,10.0,2.0,2.0,1.0,10.0,32.5
florence.jenessa@gmail.com,2.5,10.0,3.0,2.0,1.0,10.0,28.5
jordan.reyanne@gmail.com,7.5,10.0,3.0,,5.0,4.0,29.5
david.harun@gmail.com,7.5,10.0,5.0,,6.0,9.0,37.5
madeline.soila@gatech.edu,10.0,10.0,2.0,10.0,5.0,10.0,47.0
marianne.terianna@gmail.com,10.0,10.0,2.0,,5.0,10.0,37.0
nora.joshuajames@gatech.edu,7.5,10.0,5.0,,5.0,10.0,37.5
brian.tylicia@gmail.com,10.0,10.0,5.0,,10.0,10.0,45.0
mary.yahshua@gatech.edu,10.0,10.0,4.0,0.0,3.0,5.0,32.0
africa.zevion@gmail.com,7.5,10.0,2.0,3.0,1.0,10.0,33.5
tina.starsky@outlook.com,10.0,10.0,2.0,2.0,1.0,3.0,28.0
katelyn.sala@hotmail.com,10.0,10.0,4.0,0.0,3.0,5.0,32.0
matthew.monise@hotmail.com,10.0,10.0,3.0,4.0,3.0,8.0,38.0
matthew.jacon@yahoo.com,2.5,10.0,2.0,10.0,3.0,10.0,37.5
gloria.zaed@gmail.com,3.5,10.0,3.0,5.0,10.0,10.0,41.5
charles.nando@gmail.com,10.0,7.0,5.0,,1.0,9.0,32.0
faye.daly@yahoo.com,5.5,7.0,6.0,5.0,5.0,2.0,30.5
sarah.chee@ieee.org,10.0,10.0,,2.0,10.0,10.0,42.0
ara.dagny@outlook.com,10.0,10.0,6.0,0.0,,10.0,36.0
maximus.khingston@gmail.com,10.0,10.0,10.0,10.0,5.0,2.0,47.0
mary.kavaris@gmail.com,9.0,10.0,2.0,3.0,10.0,10.0,44.0
bobby.dezya@gmail.com,10.0,10.0,8.0,5.0,5.0,10.0,48.0
arthur.donnaven@rabobank.nl,5.5,10.0,3.0,3.0,5.0,10.0,36.5
james.miina@gmail.com,7.5,10.0,2.0,3.0,3.0,10.0,35.5
ronald.elfie@gmail.com,10.0,10.0,2.0,,1.0,10.0,33.0
george.hinata@gatech.edu,10.0,10.0,3.0,5.0,5.0,10.0,43.0
robert.tolisha@gatech.edu,10.0,10.0,4.0,7.0,5.0,10.0,46.0
linda.sheyli@gmail.com,7.5,10.0,2.0,,,10.0,29.5
gregory.shondell@gmail.com,3.5,10.0,2.0,10.0,10.0,10.0,45.5
delores.idele@gmail.com,10.0,10.0,4.0,7.0,8.0,10.0,49.0
lola.fysher@gmail.com,10.0,10.0,5.0,,,10.0,35.0
rafael.kaston@gatech.edu,7.5,10.0,8.0,2.0,1.0,4.0,32.5
galen.marilia@gmail.com,5.5,10.0,2.0,5.0,,10.0,32.5
hetty.jenyka@gmail.com,10.0,10.0,2.0,7.0,10.0,5.0,44.0
archer.arjay@gmail.com,10.0,10.0,8.0,,8.0,10.0,46.0
robert.gioanna@gatech.edu,7.5,10.0,6.0,3.0,5.0,10.0,41.5
elizabeth.eryc@gmail.com,10.0,10.0,,10.0,5.0,10.0,45.0
sean.henrene@gmail.com,7.5,10.0,8.0,3.0,8.0,10.0,46.5
susan.tedrina@gatech.edu,10.0,10.0,2.0,2.0,10.0,10.0,44.0
karina.tomea@ucr.edu,9.0,10.0,8.0,0.0,5.0,5.0,37.0
jude.ahsir@gatech.edu,7.5,10.0,2.0,3.0,1.0,10.0,33.5
jason.jadian@gmail.com,7.5,7.0,2.0,,10.0,10.0,36.5
betsy.rictoria@bucknell.edu,7.5,10.0,2.0,3.0,10.0,10.0,42.5
robin.kathren@gmail.com,2.5,10.0,2.0,2.0,10.0,10.0,36.5
damian.imarion@gmail.com,10.0,10.0,7.0,3.0,10.0,10.0,50.0
rosemary.kevondrick@gmail.com,7.5,10.0,2.0,2.0,5.0,10.0,36.5
barbara.carma@outlook.com,9.0,10.0,7.0,1.0,8.0,10.0,45.0
eddie.suvam@gmail.com,10.0,10.0,3.0,0.0,8.0,10.0,41.0
bradley.dailey@case.edu,10.0,10.0,2.0,2.0,10.0,10.0,44.0
tyler.raeyna@gmail.com,,10.0,1.0,2.0,10.0,8.0,31.0
aaron.kyerra@foxmail.com,8.0,10.0,1.0,2.0,,10.0,31.0
nancy.lebrandon@gmail.com,10.0,10.0,10.0,,10.0,,40.0
eugene.chares@gatech.edu,10.0,10.0,2.0,2.0,,10.0,34.0
alexandra.lacee@madlan.co.il,10.0,10.0,4.0,10.0,5.0,10.0,49.0
joan.christineanne@gmail.com,10.0,10.0,8.0,,,2.0,30.0
sammie.jaydaa@gmail.com,10.0,7.0,3.0,,,2.0,22.0
jessie.armetta@gatech.edu,,10.0,9.0,10.0,10.0,10.0,49.0
taryn.raneshia@yahoo.co.id,9.0,10.0,3.0,5.0,10.0,10.0,47.0
ashir.clintin@gatech.edu,,10.0,2.0,10.0,5.0,10.0,37.0
patricia.zuber@gmail.com,10.0,10.0,6.0,4.0,5.0,10.0,45.0
max.nequita@valensdatalabs.com,7.5,10.0,6.0,2.0,10.0,10.0,45.5
james.adeanna@email.arizona.edu,7.5,10.0,5.0,0.0,3.0,10.0,35.5
meghan.karlotta@gatech.edu,10.0,10.0,5.0,,,9.0,34.0
michelle.lawana@gmail.com,7.5,10.0,1.0,0.0,,10.0,28.5
jarrod.onas@gatech.edu,10.0,10.0,2.0,,8.0,10.0,40.0
joseph.shariden@gmail.com,10.0,10.0,6.0,3.0,10.0,3.0,42.0
kinley.milaysia@gmail.com,10.0,10.0,10.0,,10.0,10.0,50.0
tracy.giovoni@gatech.edu,10.0,10.0,1.0,10.0,10.0,10.0,51.0
karen.tanji@gatech.edu,10.0,10.0,2.0,10.0,10.0,10.0,52.0
robert.larico@yahoo.com,10.0,10.0,2.0,,5.0,2.0,29.0
chris.jonithan@gmail.com,7.5,10.0,2.0,,3.0,10.0,32.5
olivia.geral@yahoo.com,10.0,10.0,,10.0,10.0,10.0,50.0
eric.sridevi@hotmail.com,10.0,10.0,2.0,5.0,1.0,10.0,38.0
gary.ashyia@mail.ru,10.0,10.0,2.0,3.0,10.0,10.0,45.0
john.briyelle@gatech.edu,5.5,10.0,2.0,2.0,3.0,10.0,32.5
paul.paxson@gatech.edu,10.0,10.0,10.0,,1.0,10.0,41.0
david.zackaree@gmail.com,10.0,10.0,3.0,9.0,5.0,10.0,47.0
sarah.sheylin@gmail.com,10.0,10.0,5.0,,5.0,2.0,32.0
bennett.shelbert@gmail.com,10.0,10.0,2.0,10.0,5.0,5.0,42.0
oliver.caila@gatech.edu,10.0,10.0,2.0,2.0,8.0,10.0,42.0
sampson.seine@gatech.edu,10.0,10.0,1.0,3.0,1.0,2.0,27.0
sheila.vananh@gmail.com,5.5,7.0,,2.0,1.0,9.0,24.5
donald.hendrick@gmail.com,0.0,10.0,1.0,,3.0,10.0,24.0
jan.taqi@gatech.edu,7.5,10.0,2.0,2.0,5.0,4.0,30.5
justin.jernee@gatech.edu,10.0,10.0,2.0,10.0,3.0,5.0,40.0
robert.aveah@web.de,7.5,7.0,2.0,0.0,1.0,2.0,19.5
marie.mehrish@gmail.com,10.0,10.0,1.0,9.0,1.0,10.0,41.0
kassandra.starshema@gatech.edu,10.0,10.0,8.0,,10.0,10.0,48.0
shakyla.freta@gmail.com,10.0,10.0,8.0,2.0,5.0,10.0,45.0
cadence.monsserat@gmail.com,7.5,10.0,3.0,,5.0,4.0,29.5
george.eliyan@gmail.com,9.0,10.0,2.0,10.0,5.0,10.0,46.0
jacolyn.deborahh@live.de,10.0,10.0,8.0,7.0,1.0,10.0,46.0
fernando.jenzel@gmail.com,2.5,10.0,6.0,10.0,5.0,4.0,37.5
barbara.hatsumi@gmail.com,7.5,10.0,2.0,3.0,1.0,10.0,33.5
mollie.gaines@gmail.com,7.5,10.0,6.0,2.0,3.0,9.0,37.5
kayla.bhavna@gatech.edu,2.5,10.0,2.0,,3.0,10.0,27.5
lisa.demerion@gmail.com,10.0,7.0,1.0,2.0,3.0,4.0,27.0
eileen.malu@gmail.com,2.5,10.0,8.0,,10.0,5.0,35.5
delores.christipher@gmail.com,10.0,10.0,5.0,7.0,5.0,10.0,47.0
amanda.hessa@gatech.edu,10.0,10.0,2.0,10.0,1.0,10.0,43.0
james.amiee@gmail.com,7.5,10.0,8.0,0.0,10.0,10.0,45.5
margaret.tim@protonmail.com,10.0,10.0,10.0,10.0,5.0,,45.0
william.sanvi@gmail.com,7.5,10.0,2.0,,3.0,5.0,27.5
ellie.jodean@gmail.com,7.5,10.0,7.0,2.0,1.0,10.0,37.5
david.zarak@gmail.com,10.0,10.0,7.0,2.0,3.0,10.0,42.0
susan.jannick@gmail.com,9.0,10.0,8.0,9.0,3.0,10.0,49.0
elliott.ehlana@gmail.com,8.5,10.0,5.0,2.0,10.0,9.0,44.5
jamilah.marcellyn@yahoo.com,6.5,10.0,,5.0,,10.0,31.5
clarence.wyhatt@gatech.edu,4.5,10.0,2.0,3.0,10.0,10.0,39.5
harry.narsiso@gmail.com,7.5,10.0,5.0,,10.0,10.0,42.5
patricia.vernell@gmail.com,10.0,10.0,2.0,9.0,3.0,10.0,44.0
audrey.khushbu@gmail.com,5.5,10.0,2.0,,1.0,5.0,23.5
barbara.kalesi@gmail.com,3.5,10.0,6.0,0.0,1.0,10.0,30.5
abigail.lanty@gatech.edu,7.5,10.0,3.0,2.0,1.0,10.0,33.5
patricia.ariha@gatech.edu,10.0,10.0,5.0,,8.0,10.0,43.0
christian.miyisha@yahoo.com,2.5,,1.0,,,4.0,7.5
ruth.laverl@yahoo.com,7.5,10.0,8.0,,8.0,10.0,43.5
christopher.dailee@gmail.com,5.5,10.0,2.0,,8.0,10.0,35.5
edwin.dakai@gmail.com,10.0,10.0,8.0,2.0,5.0,10.0,45.0
olga.shane@gatech.edu,10.0,10.0,10.0,10.0,5.0,,45.0
frank.ethelmae@yahoo.com,10.0,7.0,5.0,3.0,10.0,5.0,40.0
stephanie.lylarae@gatech.edu,10.0,10.0,8.0,5.0,3.0,10.0,46.0
mark.lakara@yahoo.com,9.0,10.0,2.0,,10.0,9.0,40.0
ashley.zadiel@gmail.com,10.0,10.0,6.0,2.0,10.0,10.0,48.0
jillian.myler@gmail.com,5.5,10.0,6.0,0.0,3.0,4.0,28.5
gabrielle.javierjr@hotmail.com,10.0,10.0,6.0,0.0,5.0,4.0,35.0
albert.averley@gmail.com,7.5,10.0,3.0,2.0,3.0,10.0,35.5
sharon.daionna@gatech.edu,10.0,10.0,10.0,10.0,10.0,10.0,60.0
canaan.cynsere@hotmail.com,,10.0,8.0,10.0,3.0,10.0,41.0
melissa.sherriann@gmail.com,2.5,7.0,1.0,,,2.0,12.5
kristopher.erandi@gmail.com,5.5,10.0,2.0,,3.0,5.0,25.5
audra.kayleh@gmail.com,3.5,10.0,5.0,2.0,3.0,10.0,33.5
randall.bedelia@gmail.com,10.0,10.0,8.0,,3.0,10.0,41.0
brianna.jenysis@gatech.edu,10.0,10.0,5.0,2.0,5.0,3.0,35.0
kaitlyn.asharie@gatech.edu,7.5,10.0,8.0,5.0,5.0,5.0,40.5
jesus.monserrath@gmail.com,10.0,10.0,8.0,0.0,1.0,2.0,31.0
paul.laconya@gmail.com,10.0,10.0,2.0,6.0,8.0,10.0,46.0
barbara.khysen@gmail.com,9.0,10.0,2.0,10.0,10.0,4.0,45.0
samuel.anoria@gmail.com,10.0,10.0,3.0,2.0,1.0,10.0,36.0
robert.eila@edna.tech,7.5,10.0,2.0,5.0,10.0,10.0,44.5
inez.michol@gatech.edu,,10.0,3.0,,10.0,10.0,33.0
marco.avry@gmail.com,7.5,10.0,3.0,7.0,5.0,10.0,42.5
jessi.reggan@gmail.com,10.0,10.0,8.0,10.0,3.0,4.0,45.0
harry.shiane@e.ntu.edu.sg,10.0,10.0,7.0,5.0,3.0,10.0,45.0
dana.madisonrose@yahoo.fr,7.5,10.0,5.0,2.0,10.0,10.0,44.5
connie.westlan@hotmail.com,0.0,10.0,2.0,2.0,3.0,10.0,27.0
daniel.cuauhtli@gmail.com,9.0,7.0,6.0,,10.0,4.0,36.0
david.luchia@gmail.com,10.0,10.0,6.0,2.0,1.0,10.0,39.0
sherree.jamesena@hotmail.com,,7.0,3.0,,10.0,10.0,30.0
kathleen.clesha@gmail.com,7.5,10.0,5.0,2.0,10.0,10.0,44.5
robert.sebern@gmail.com,3.5,7.0,1.0,,1.0,,12.5
nathan.raylean@hotmail.com,10.0,10.0,3.0,,3.0,9.0,35.0
angelo.shakwan@gatech.edu,9.0,10.0,6.0,10.0,3.0,10.0,48.0
kayli.christyn@gmail.com,7.5,10.0,1.0,,,10.0,28.5
sharilyn.elvana@gmail.com,2.5,7.0,1.0,2.0,,10.0,22.5
barbara.dewarren@gmail.com,10.0,10.0,2.0,2.0,3.0,4.0,31.0
christopher.josericardo@gmail.com,7.5,10.0,2.0,2.0,5.0,4.0,30.5
julene.yovanni@unal.edu.co,10.0,10.0,10.0,,5.0,10.0,45.0
kathy.kym@gmx.at,3.5,10.0,5.0,10.0,5.0,10.0,43.5
winston.wymon@gmail.com,10.0,10.0,8.0,,1.0,10.0,39.0
henry.renasia@gatech.edu,7.5,7.0,,,1.0,9.0,24.5
eugene.glema@hotmail.com,9.0,10.0,2.0,4.0,10.0,10.0,45.0
monica.ahron@gmail.com,7.5,10.0,3.0,3.0,3.0,10.0,36.5
henry.wyomia@gmail.com,7.5,10.0,6.0,1.0,,10.0,34.5
jennifer.matea@gatech.edu,10.0,10.0,5.0,0.0,3.0,10.0,38.0
michael.afeni@gatech.edu,10.0,10.0,,10.0,10.0,2.0,42.0
nancy.quaniya@hotmail.com,9.0,10.0,8.0,6.0,10.0,10.0,53.0
jenifer.juwuan@gmail.com,9.0,10.0,8.0,2.0,5.0,2.0,36.0
lily.hilry@gatech.edu,9.0,10.0,2.0,2.0,10.0,10.0,43.0
scarlett.abyssinia@gatech.edu,10.0,10.0,0.0,10.0,10.0,10.0,50.0
luke.lexe@gatech.edu,10.0,10.0,5.0,7.0,10.0,10.0,52.0
trey.haldrin@gmail.com,7.5,10.0,2.0,,5.0,4.0,28.5
samiel.yustin@gatech.edu,9.0,10.0,5.0,,3.0,9.0,36.0
john.terasa@gatech.edu,5.5,10.0,1.0,2.0,1.0,10.0,29.5
molly.makensey@gmail.com,9.0,10.0,3.0,10.0,,5.0,37.0
alex.yaret@gatech.edu,,10.0,10.0,0.0,10.0,10.0,40.0
latonya.ervena@gmail.com,5.5,10.0,6.0,,3.0,10.0,34.5
analysa.taisiya@gmail.com,9.0,10.0,3.0,5.0,1.0,5.0,33.0
jacob.ozkar@gmail.com,7.5,10.0,2.0,2.0,5.0,9.0,35.5
jason.lovett@outlook.com,7.5,10.0,8.0,3.0,,4.0,32.5
ethan.lakeyia@gatech.edu,7.5,10.0,2.0,2.0,10.0,10.0,41.5
lillie.clover@gatech.edu,9.0,10.0,8.0,10.0,5.0,4.0,46.0
john.sujit@gmail.com,10.0,10.0,10.0,10.0,10.0,10.0,60.0
maude.joxiel@gmail.com,7.5,10.0,1.0,0.0,5.0,5.0,28.5
bonna.tahisha@yahoo.com,7.5,10.0,2.0,,5.0,10.0,34.5
michael.alaynia@gatech.edu,10.0,10.0,6.0,10.0,5.0,4.0,45.0
