Email,problem0,problem1,problem2,problem3,problem4
timothy.bunita@gmail.com,10,10,10,10,10
henry.marcenia@hel.fi,8,10,10,3,10
pamela.vigo@gmail.com,10,10,10,10,10
madeline.soila@gatech.edu,10,10,10,10,10
angel.eddison@gmail.com,5,10,10,0,10
charles.saya@gmail.com,10,10,10,10,10
david.zackaree@gmail.com,10,10,10,10,10
steven.marleyrae@gmail.com,10,10,10,10,10
coltin.taliya@hotmail.com,10,10,10,10,6
bryce.daziah@gmail.com,7,10,10,10,10
david.duella@gmail.com,10,10,10,10,10
barbara.wilhemina@gatech.edu,3,0,1,0,5
lowell.tylek@gatech.edu,5,10,10,10,10
lyrik.tasmine@hotmail.com,10,10,10,10,10
michelle.lawana@gmail.com,10,10,10,10,10
zitlaly.nester@valensdatalabs.com,10,10,10,8,10
john.sebria@online.de,10,10,10,10,10
lillian.pragna@gatech.edu,10,7,10,10,10
landen.micaela@gmail.com,--------,5,1,--------,5
bobby.dezya@gmail.com,10,10,10,10,10
jeanine.antesha@gmail.com,10,10,10,10,10
eleanor.lenoria@gmail.com,10,10,10,10,10
james.makaleb@gmail.com,5,7,10,6,5
sherrie.rury@gmail.com,10,10,10,10,10
tina.davontaye@gmail.com,10,10,10,2,10
aaliyah.tayviona@gatech.edu,3,2,10,8,10
david.caswell@duke.edu,10,10,10,7,5
christopher.sharad@hotmail.com,10,7,10,--------,0
galen.marilia@gmail.com,10,7,10,10,10
phoebe.cambi@gmail.com,10,7,--------,0,5
louann.jarique@gmail.com,10,10,10,4,5
africa.zevion@gmail.com,3,5,10,--------,5
janet.tenaj@gmail.com,10,10,10,7,5
savanna.equasha@gatech.edu,3,7,10,8,6
dana.branch@gmail.com,10,10,10,10,10
stacie.swadha@gmail.com,10,10,10,10,5
seneca.nasaria@gmail.com,10,10,10,10,10
david.viletta@gmail.com,3,7,10,2,5
philip.yoshinobu@gmail.com,10,10,10,0,5
kamil.keiarah@gmail.com,10,10,10,10,10
betsy.rictoria@bucknell.edu,5,7,10,--------,5
ryo.hinano@hotmail.co.jp,10,7,10,10,5
thomas.marlize@gmail.com,10,5,10,10,10
andrea.shayaan@gmail.com,10,10,10,10,5
jose.lakeeshia@rocketmail.com,10,10,10,10,10
adam.evemarie@gmail.com,10,10,10,10,5
mary.pasquinel@gmail.com,3,7,1,--------,5
holly.chintan@msn.com,10,10,10,2,10
hattie.gabriella@gmail.com,10,10,10,10,10
edgar.shifra@googlemail.com,5,--------,10,10,5
larry.girlene@gmail.com,10,10,10,10,10
michael.volvi@gatech.edu,10,10,10,10,10
abigail.lynnon@gmail.com,5,0,1,--------,1
sean.maizley@gmail.com,5,7,10,10,5
minnie.akaia@gmail.com,10,10,10,10,6
karina.tomea@ucr.edu,10,10,10,10,10
carolyn.cherin@gmail.com,5,10,10,10,0
gary.lamiek@gmail.com,10,10,10,5,10
karin.abbey@gmail.com,10,10,10,10,5
sandra.rethia@gmail.com,5,5,1,10,5
kari.reighlynn@gatech.edu,10,10,10,10,10
charity.rieley@gatech.edu,10,10,10,10,6
kassandra.starshema@gatech.edu,10,7,10,10,10
joan.christineanne@gmail.com,10,10,10,10,10
kimberly.nealon@gmail.com,--------,--------,--------,--------,10
marco.avry@gmail.com,10,10,10,10,10
alice.matthewdavid@gmail.com,10,10,10,8,10
frank.ethelmae@yahoo.com,10,10,10,10,10
dana.madisonrose@yahoo.fr,10,10,10,10,6
patrick.zyrion@gmail.com,5,10,10,2,5
deandre.jazzabella@gmail.com,--------,10,1,6,5
michael.latrish@selu.edu,10,10,10,8,10
glenda.ashritha@gmail.com,10,10,10,2,6
allie.jatziry@gmail.com,3,5,10,10,6
sean.henrene@gmail.com,10,10,10,10,10
anquette.zeshaun@gmail.com,10,10,10,10,5
jillian.myler@gmail.com,10,10,10,6,6
joseph.sherburne@gmail.com,10,10,10,10,10
brian.aloria@gmail.com,--------,2,--------,--------,--------
joyce.adeel@gmail.com,10,10,10,10,6
ron.mariadelosangel@gmail.com,10,10,10,10,10
juancarlos.carrye@gatech.edu,10,10,10,10,6
john.armando@pentafoundation.org,10,10,10,10,10
michelle.fionnlagh@gmail.com,10,7,10,--------,10
iwao.jency@gmail.com,10,10,10,10,10
kenneth.shontae@gmail.com,10,10,10,10,10
chad.kamiyra@gatech.edu,5,7,10,10,10
kenneth.bryland@gatech.edu,10,10,10,10,10
gregory.shondell@gmail.com,10,10,10,10,5
carlos.nasra@gatech.edu,10,10,10,10,10
annie.jaethan@mail.ru,10,10,10,8,5
vivian.kisher@gmail.com,10,7,10,10,10
crystal.antwann@gmail.com,10,10,10,10,10
tom.wallice@gmail.com,10,10,10,10,10
kathy.tavaughn@gmail.com,10,10,10,5,10
james.miina@gmail.com,5,10,10,--------,6
steven.dashiya@gmail.com,10,10,10,8,6
jenna.shaunah@gmail.com,10,10,10,10,10
christopher.denean@gatech.edu,10,10,10,10,10
jonathan.waheedah@gmail.com,8,10,10,8,5
kathleen.morrigan@gmail.com,10,10,10,10,10
justin.zende@yahoo.com,10,10,10,5,5
payton.michoel@gmail.com,10,10,10,8,10
laura.tyzier@hungperfect.com,10,10,10,10,10
devan.sameya@gmail.com,10,10,10,10,10
eugene.chares@gatech.edu,10,10,10,10,6
andrew.rish@hotmail.com,10,10,10,10,10
lester.sabrynn@gatech.edu,10,10,10,2,5
michael.kavayah@gatech.edu,10,10,10,10,10
connie.westlan@hotmail.com,5,7,10,0,5
barbara.dewarren@gmail.com,5,10,1,--------,6
matthew.juhi@gmail.com,10,10,10,10,10
derrick.sacario@gatech.edu,5,10,1,--------,1
martha.twanetta@numera.consulting,10,10,10,10,10
lester.yesmi@gatech.edu,10,10,10,10,6
edwin.dakai@gmail.com,10,10,10,10,5
william.artricia@vcu.edu,8,4,10,--------,5
alex.yaret@gatech.edu,10,10,10,6,5
abraham.clairece@gmail.com,10,10,10,8,10
dana.ashliegh@gatech.edu,10,10,10,--------,10
gale.syler@gmail.com,10,10,9,0,10
jeffrey.raoof@gmail.com,5,10,10,8,10
tiffany.quindell@gmail.com,10,10,10,10,10
ben.zaida@gatech.edu,7,7,10,10,10
audra.kayleh@gmail.com,5,10,10,10,10
winston.wymon@gmail.com,10,10,10,10,5
gabrielle.prinsha@gmail.com,5,10,10,10,0
jerry.zierre@gmail.com,10,10,10,10,10
paul.derrin@hawk.iit.edu,10,10,10,10,6
kiesha.millard@gmail.com,10,7,10,10,10
franklin.ginnette@gmail.com,10,10,10,10,5
sierra.kyrsha@gatech.edu,10,10,10,10,6
sherry.ayleigh@aol.com,10,10,10,10,10
julia.tyrene@gatech.edu,5,7,1,--------,5
perla.karynn@gatech.edu,10,10,10,10,5
susan.arville@gatech.edu,10,10,10,10,6
nichole.bertrice@gmail.com,10,10,10,--------,5
brittany.aleta@yahoo.com,10,10,10,10,10
elijah.lareta@gatech.edu,10,10,10,10,10
bernard.hammie@gatech.edu,10,10,10,10,10
anthony.rabi@hotmail.com,10,10,10,10,10
geraldine.kingsolomon@gatech.edu,10,10,10,10,10
dashay.lanier@gmail.com,10,10,10,10,10
patricia.richardjames@gmail.com,10,10,10,10,10
sergio.cherye@gmail.com,10,7,10,10,10
jenae.torrence@gatech.edu,3,7,10,10,5
lola.fysher@gmail.com,10,10,10,10,10
peter.branwyn@gmail.com,10,7,10,10,6
rita.devun@gmail.com,10,10,10,10,10
edna.teerica@gmail.com,10,7,10,10,10
peter.kadenn@gmail.com,10,10,10,--------,6
harry.dafni@icloud.com,10,10,10,10,10
jamie.asadbek@gmail.com,10,10,10,8,10
lynn.adarryll@gmail.com,7,10,10,10,5
dominic.lexanni@gmail.com,5,7,10,10,10
christian.miyisha@yahoo.com,5,7,10,--------,5
delaney.dshon@gmail.com,10,10,10,10,10
david.brandia@gmail.com,10,10,10,10,10
mel.gilman@gatech.edu,3,10,10,0,6
paul.jawaski@gmail.com,7,10,10,8,5
tina.starsky@outlook.com,10,10,10,10,10
florence.jenessa@gmail.com,10,10,10,--------,5
linda.sheyli@gmail.com,10,10,10,10,10
jarrod.onas@gatech.edu,10,7,10,2,5
shree.elica@gatech.edu,8,10,10,8,10
david.harun@gmail.com,5,4,1,--------,5
zuri.eilleen@gatech.edu,10,10,10,10,10
lucy.anouk@gmail.com,10,10,10,10,10
brodie.scottia@gmail.com,10,10,10,10,10
patricia.flodie@gatech.edu,10,10,10,10,10
lauren.tonnisha@gmail.com,10,10,10,2,10
lamar.rinya@yahoo.com,10,10,10,10,10
elizabeth.eryc@gmail.com,10,10,10,10,10
william.piers@gmail.com,10,10,10,10,5
michaela.ashauria@gmail.com,10,10,10,10,10
amanda.nikya@gmail.com,10,10,10,10,10
ara.dagny@outlook.com,10,10,10,10,10
mary.daje@gmail.com,10,10,10,0,6
sanquita.yhadira@gmail.com,10,10,10,10,10
elliott.ehlana@gmail.com,10,7,10,10,6
debra.shaheer@gmail.com,10,10,10,10,10
ethel.gordon@uoregon.edu,10,10,10,10,10
stephen.lakeema@gatech.edu,10,10,10,10,10
robert.tolisha@gatech.edu,10,10,10,10,10
sarah.chee@ieee.org,10,10,10,10,10
matthew.monise@hotmail.com,5,10,10,6,6
noah.jamea@gmail.com,10,7,10,10,10
luke.joselen@gatech.edu,10,10,10,10,6
henry.renasia@gatech.edu,3,10,10,2,6
faye.daly@yahoo.com,10,10,10,10,5
delores.idele@gmail.com,10,7,10,5,10
barbara.kalesi@gmail.com,7,7,10,9,6
charles.nando@gmail.com,10,10,10,8,5
james.adeanna@email.arizona.edu,10,10,10,2,6
lisa.demerion@gmail.com,5,7,5,--------,5
brandon.jerrill@gatech.edu,10,10,10,10,10
alexis.shondrea@gatech.edu,3,7,6,6,2
barbara.hatsumi@gmail.com,10,10,10,10,10
rafael.kaston@gatech.edu,8,7,10,10,6
alexandra.lacee@madlan.co.il,10,10,10,10,10
jacob.ozkar@gmail.com,7,10,5,6,8
luis.jonn@gmail.com,10,10,10,4,10
damian.imarion@gmail.com,10,10,10,10,10
melissa.sherriann@gmail.com,5,7,1,--------,5
jack.othmar@gmail.com,10,7,10,10,5
aaron.kyerra@foxmail.com,10,10,10,10,10
chris.jonithan@gmail.com,10,10,10,10,10
gracie.keshav@gmail.com,10,10,10,10,10
sammie.jaydaa@gmail.com,10,10,1,0,5
abigail.lanty@gatech.edu,10,10,10,7,10
mary.damarte@gmail.com,10,10,10,10,10
susan.analissa@enactdevelopment.com,10,7,10,10,10
samantha.dreami@gmail.com,10,10,10,10,10
jason.jadian@gmail.com,5,7,10,10,10
gary.adamina@mail.ccsf.edu,10,7,10,--------,6
susan.tedrina@gatech.edu,7,7,10,10,5
patricia.zuber@gmail.com,10,10,10,10,10
heather.courtnay@gmail.com,10,10,10,10,8
george.kareema@outlook.com,10,10,10,10,10
bennett.shelbert@gmail.com,10,10,10,5,10
robert.larico@yahoo.com,10,10,10,10,10
audrey.khushbu@gmail.com,3,2,10,10,5
lindsey.kinard@hotmail.com,10,10,10,10,6
hubert.kezlyn@yandex.ru,10,7,10,6,8
ellie.jodean@gmail.com,10,10,10,10,10
sheila.vananh@gmail.com,5,7,10,10,10
diane.mareo@gmail.com,0,--------,1,8,5
anita.sinclaire@yahoo.com,10,10,10,10,10
amanda.dvyne@gatech.edu,3,10,10,10,10
gabrielle.javierjr@hotmail.com,10,10,10,10,10
bailey.mckeyla@gatech.edu,10,10,10,10,10
albert.averley@gmail.com,3,7,1,--------,5
nancy.lebrandon@gmail.com,10,10,10,10,10
leigh.nadiyah@gatech.edu,10,10,10,8,10
jessica.rinda@gatech.edu,10,10,10,8,5
brian.tylicia@gmail.com,10,10,10,10,10
robert.eila@edna.tech,10,10,10,--------,5
robert.aveah@web.de,10,10,10,8,5
deionte.banisha@gmail.com,4,7,1,0,1
daniel.cuauhtli@gmail.com,10,7,10,10,10
david.naheem@protonmail.com,3,10,5,5,5
robert.gioanna@gatech.edu,5,7,10,10,10
sue.ikira@gmail.com,10,10,6,10,10
david.zarak@gmail.com,10,7,10,4,10
anna.waldron@gatech.edu,5,10,1,--------,5
margaret.tim@protonmail.com,10,10,10,10,10
eric.xiah@icloud.com,5,7,1,2,5
katelyn.sala@hotmail.com,5,10,1,--------,6
paul.kaylana@gatech.edu,5,7,10,10,10
mark.lakara@yahoo.com,10,10,10,10,10
oliver.caila@gatech.edu,10,10,10,10,10
cadence.monsserat@gmail.com,10,10,10,7,10
jacolyn.deborahh@live.de,5,4,10,0,5
mark.trayvond@gatech.edu,10,10,10,10,10
tiffany.rexlee@gmail.com,10,7,10,--------,5
mary.yahshua@gatech.edu,5,10,5,--------,6
nikki.lysander@gmail.com,10,10,10,10,6
charlene.cherree@gatech.edu,10,10,10,10,10
bradley.dailey@case.edu,10,10,10,10,10
patricia.vernell@gmail.com,10,10,10,10,5
analysa.taisiya@gmail.com,10,10,10,10,10
steven.macray@gmail.com,10,10,10,10,5
sarah.kimanh@gatech.edu,3,10,0,0,6
christopher.josericardo@gmail.com,5,10,10,--------,10
ryne.marialy@gmail.com,10,10,10,10,6
kaitlyn.asharie@gatech.edu,10,10,10,10,10
bonna.tahisha@yahoo.com,10,10,10,10,10
charles.pavni@gmail.com,10,10,10,10,10
jenifer.juwuan@gmail.com,10,7,10,10,6
meghan.karlotta@gatech.edu,10,10,10,--------,10
ruth.ayaa@gmail.com,10,10,10,10,10
fernando.djaun@iiitdm.ac.in,5,10,10,8,10
martha.chineme@gmail.com,8,10,10,4,6
judith.baelie@yahoo.com,10,8,10,10,5
braylon.tecia@livemail.tw,5,10,6,--------,5
eileen.malu@gmail.com,10,10,10,10,10
james.amiee@gmail.com,10,10,10,10,10
ethan.lakeyia@gatech.edu,7,10,10,10,10
ruth.laverl@yahoo.com,10,7,10,10,10
gary.ashyia@mail.ru,3,7,10,10,10
adelina.roxene@gmail.com,10,7,10,--------,5
charles.purdy@hotmail.com,10,10,10,10,10
latonya.ervena@gmail.com,5,10,10,10,10
mollie.gaines@gmail.com,7,10,10,7,10
rebecca.latrea@gmail.com,10,10,10,10,10
denise.rickayla@gmail.com,10,10,10,10,10
john.terasa@gatech.edu,10,7,1,2,5
patricia.ariha@gatech.edu,5,10,10,10,10
lily.hilry@gatech.edu,8,7,10,2,6
anthony.fashionette@yahoo.com,10,10,10,10,10
archer.arjay@gmail.com,5,10,10,8,5
michael.dixy@gmail.com,10,8,10,10,10
trey.haldrin@gmail.com,10,10,10,10,10
melanie.devantre@gmail.com,3,7,10,0,6
james.marcisha@gatech.edu,10,10,10,10,5
drew.artice@gmail.com,10,10,10,10,10
henrietta.sorayda@gmail.com,10,10,10,8,5
jon.durke@gmail.com,10,10,10,10,10
stephanie.lylarae@gatech.edu,5,7,10,8,10
sherree.jamesena@hotmail.com,5,7,10,0,5
alonso.tamarcus@gmail.com,10,10,10,--------,5
maximus.khingston@gmail.com,10,10,10,10,10
harry.narsiso@gmail.com,5,10,10,0,10
sampson.seine@gatech.edu,10,10,10,10,10
marianne.terianna@gmail.com,10,10,10,10,10
ashley.zadiel@gmail.com,10,10,10,10,10
norvell.ahmyr@gatech.edu,10,10,10,10,10
melanie.richana@gmail.com,10,10,10,10,10
clarence.wyhatt@gatech.edu,10,10,10,10,10
jordan.reyanne@gmail.com,10,10,10,10,10
christopher.dailee@gmail.com,10,10,10,10,10
kinley.milaysia@gmail.com,10,10,10,--------,10
angelo.shakwan@gatech.edu,10,10,10,10,10
nora.joshuajames@gatech.edu,7,10,10,10,10
samuel.anoria@gmail.com,5,10,10,2,6
harry.shiane@e.ntu.edu.sg,10,10,10,10,10
betsy.edwynn@mac.com,10,10,10,10,10
valerie.jamial@gmail.com,10,10,10,10,10
jason.saveria@gmail.com,10,10,10,10,10
julene.yovanni@unal.edu.co,10,10,10,10,10
inez.michol@gatech.edu,7,7,10,--------,5
cheryl.jaimir@hotmail.com,10,10,10,10,10
mason.haskell@gatech.edu,5,7,10,2,5
luke.lexe@gatech.edu,10,10,10,10,10
susan.jannick@gmail.com,10,10,10,10,6
thomas.dyanni@gmail.com,10,10,10,6,5
george.roa@hotmail.com,10,10,10,10,10
shakyla.freta@gmail.com,5,10,10,6,5
nancy.quaniya@hotmail.com,10,10,10,10,10
sharon.daionna@gatech.edu,10,10,10,10,10
harper.lemorris@gmail.com,10,10,10,10,10
henry.wyomia@gmail.com,5,7,10,10,6
matthew.taw@gmail.com,10,10,10,10,10
barbara.khysen@gmail.com,10,10,10,10,10
joseph.shariden@gmail.com,10,10,10,10,6
jennifer.matea@gatech.edu,5,10,10,10,10
jason.lovett@outlook.com,10,7,10,--------,10
marie.mehrish@gmail.com,10,10,10,10,10
adena.talaiya@qq.com,10,10,10,10,10
valerie.ar@gmail.com,10,10,10,2,5
irene.terece@gmail.com,10,10,10,10,6
hobart.malala@gmail.com,10,7,10,10,10
molly.makensey@gmail.com,10,10,10,2,10
paxton.maragret@gmail.com,10,10,10,10,10
pauline.trechelle@gmail.com,10,7,10,10,10
shannon.khalanii@gatech.edu,10,10,10,10,10
omar.cheyton@gatech.edu,10,10,10,10,10
johnny.anass@gmail.com,10,10,10,--------,6
michael.meleyah@gmail.com,10,10,10,10,10
alexandra.kogan@gmail.com,10,10,10,10,10
dejon.lyrae@gmail.com,10,10,10,10,10
melissa.sherral@gmail.com,5,7,10,10,5
monica.ahron@gmail.com,10,10,10,10,10
kristopher.erandi@gmail.com,7,10,10,--------,6
sharilyn.elvana@gmail.com,5,10,10,8,10
kathleen.lonn@outlook.com,10,10,10,10,10
margarita.zoli@gmail.com,5,7,1,10,5
danielle.kulsoom@gmail.com,10,10,10,10,10
eric.sridevi@hotmail.com,10,10,10,--------,10
cody.eastin@gmail.com,5,7,10,10,10
russell.dick@gmail.com,2,0,1,0,5
courtney.daymeon@alum.lehigh.edu,10,10,10,8,5
christine.rostam@gmail.com,3,--------,--------,--------,--------
tory.shritha@gmail.com,5,7,10,4,6
eric.tamiesha@gmail.com,8,10,1,--------,5
stanley.denaly@gmail.com,5,10,10,10,10
john.sujit@gmail.com,10,10,10,10,10
kyler.kimya@gmail.com,5,7,10,--------,5
patricia.breely@gmail.com,10,10,10,10,10
richard.marshaye@gmail.com,8,10,10,10,6
breanna.abdulmalek@gatech.edu,3,10,1,0,1
jeri.robynn@gmail.com,8,10,10,10,5
terry.shantrece@gmail.com,10,10,10,8,10
leta.kartier@gmail.com,3,2,10,2,5
lynlee.khalayah@hotmail.com,5,7,1,2,--------
savanna.montral@gatech.edu,10,10,10,10,10
deborah.quinneshia@gmail.com,10,7,10,10,10
bonita.keneasha@gatech.edu,10,10,10,10,10
rashad.datra@gmail.com,10,10,10,10,10
elizabeth.america@gmail.com,5,7,1,0,10
gael.iduma@hotmail.com,10,10,10,0,10
keith.saraiya@gmail.com,10,10,10,2,5
carlyn.teffany@gmail.com,10,7,10,10,10
hayden.mixtly@ieee.org,10,7,10,7,6
micheal.glenola@gatech.edu,10,10,10,10,5
ryann.satsuko@gmail.com,10,10,10,10,6
john.bergin@gatech.edu,2,2,10,7,5
paul.laconya@gmail.com,7,7,10,10,5
jade.tliyah@gmail.com,10,10,10,6,10
gerardo.allesha@gmail.com,10,7,10,10,10
nancy.saba@yahoo.com,10,10,10,8,5
joy.jaceion@gmail.com,10,10,10,10,10
john.briyelle@gatech.edu,5,7,10,--------,5
mary.lunalee@gmail.com,10,10,10,10,10
xavier.lavesta@gmail.com,10,7,10,--------,5
christian.anum@gmail.com,10,10,10,10,10
randall.bedelia@gmail.com,10,7,10,--------,10
jacob.talecia@gmail.com,10,7,10,--------,5
calvin.taskin@gmail.com,10,10,10,10,10
jennifer.rodericus@gmail.com,10,10,--------,1,5
tiare.capree@gatech.edu,3,0,10,6,6
mary.issys@gatech.edu,10,10,10,10,10
brian.moni@gmail.com,10,10,10,10,10
jackie.barrion@live.de,10,10,10,10,5
jordan.trenetta@gmail.com,10,10,10,10,5
robin.kathren@gmail.com,10,10,10,10,10
james.sephiroth@gmail.com,5,7,10,8,10
harold.phillip@gatech.edu,10,10,5,0,5
taryn.raneshia@yahoo.co.id,7,10,10,10,10
gino.branston@gatech.edu,10,10,10,10,10
kayla.pamalee@protonmail.com,5,7,10,8,6
john.ruther@gmail.com,5,7,10,10,10
lukas.marcquise@gmail.com,8,7,10,2,10
bonnie.dreylan@gatech.edu,10,10,10,10,10
olivia.prit@yahoo.com,5,7,1,0,5
chelsea.dilann@gatech.edu,10,10,10,8,5
dylan.aziria@gmail.com,10,10,10,10,10
edgar.paishance@umn.edu,10,7,10,8,5
gloria.zaed@gmail.com,7,10,10,10,6
olivia.geral@yahoo.com,10,10,10,10,10
francis.hazlie@gmail.com,5,2,10,10,0
sarah.sheylin@gmail.com,10,10,10,8,10
alexander.rollan@gatech.edu,10,10,10,10,10
ashir.clintin@gatech.edu,10,10,10,10,10
charles.tocha@gmail.com,5,7,10,8,--------
rita.sidny@gmail.com,10,7,10,10,10
angela.lynisha@gatech.edu,10,10,10,10,10
erika.diaan@gmail.com,10,10,10,10,10
robert.burnest@gmail.com,5,7,10,10,5
amanda.hessa@gatech.edu,7,10,10,10,5
samantha.vidella@gmail.com,10,10,10,10,10
barbara.khendra@gatech.edu,10,10,10,10,10
barbara.carma@outlook.com,10,0,10,7,5
george.eliyan@gmail.com,10,10,10,10,8
jessica.sakya@gatech.edu,10,10,10,10,10
amaya.krew@gmail.com,10,10,10,10,10
karen.tanji@gatech.edu,10,10,10,10,10
arthur.donnaven@rabobank.nl,7,7,10,10,10
jonathan.nilsa@gmail.com,10,10,10,6,10
jewell.av@qq.com,3,10,10,--------,5
arthur.skii@gatech.edu,10,10,10,10,5
nathan.lawyer@gmail.com,3,10,--------,7,10
brianna.jenysis@gatech.edu,9,10,10,10,10
jesus.monserrath@gmail.com,9,10,10,1,5
nikolaj.correne@att.net,10,10,10,10,10
lisa.hovik@gmail.com,5,7,10,2,5
mary.wesner@gatech.edu,7,7,10,0,10
scott.tyreka@gatech.edu,10,10,10,10,10
francisco.anyeline@gatech.edu,10,10,10,6,5
benjamin.zanthia@gatech.edu,10,10,10,10,10
jesse.aritzi@gmail.com,2,--------,1,--------,5
kathleen.clesha@gmail.com,10,10,10,10,10
patt.dolora@gmail.com,10,10,10,8,10
louise.aaravi@hotmail.com,10,10,10,10,10
paul.paxson@gatech.edu,10,10,10,8,6
lorita.theral@gatech.edu,10,10,1,2,5
natalie.wandell@gmail.com,10,10,10,2,5
vickie.tkiyah@gatech.edu,10,10,1,--------,5
delores.christipher@gmail.com,10,10,10,10,10
wm.charrisse@gatech.edu,10,10,10,10,10
john.kyelee@gatech.edu,5,7,10,--------,1
chad.darnella@gmail.com,10,10,10,10,10
eli.sascha@yahoo.com,8,7,1,--------,5
jazlyn.florin@gmail.com,5,10,1,1,6
jaime.maasai@gmail.com,3,7,10,4,6
laila.marae@gatech.edu,10,10,10,10,10
lawrence.kiyona@hotmail.com,5,7,10,2,1
dorothy.leycester@gmail.com,7,7,10,10,6
eugene.glema@hotmail.com,10,10,10,10,10
ronald.ezell@gatech.edu,5,10,1,--------,5
john.jogina@gmail.com,10,10,10,10,10
beckett.sameia@gatech.edu,5,7,10,--------,5
stacy.loneta@gmail.com,10,10,10,10,10
connor.amilliona@gatech.edu,10,10,10,10,10
willard.tammela@hotmail.com,10,10,10,10,6
juanita.esiah@gmail.com,10,10,10,10,10
llewellyn.tsurue@gmail.com,10,10,10,10,10
kayli.christyn@gmail.com,5,10,10,--------,5
daniel.tashera@gmail.com,10,10,1,--------,--------
ora.ahnjayla@gatech.edu,10,10,10,6,10
todd.laylynn@ucdavis.edu,3,--------,--------,--------,--------
emily.zoeyann@gmail.com,10,10,10,10,10
michael.afeni@gatech.edu,5,7,10,2,6
lisa.andreas@gmail.com,--------,7,1,--------,--------
craig.doraine@gmail.com,10,10,10,10,10
demetrie.randin@gmail.com,10,10,10,10,5
robert.berita@gatech.edu,10,10,10,10,5
jeffery.martrail@gatech.edu,10,10,10,10,10
heather.vedah@gmail.com,5,10,1,--------,1
laura.madelena@gatech.edu,5,0,1,2,5
aubrey.keadyn@gmail.com,10,10,10,10,10
alonzo.tyrell@gmail.com,10,7,10,2,--------
meredith.rakyla@hotmail.com,3,2,10,--------,5
