Email,problem0,problem1,problem2,problem3,problem4,Earned
destiny.charnaye@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
aneesa.blaidyn@aol.com,10.0,10.0,10.0,10.0,10.0,50.0
nathan.raylean@hotmail.com,10.0,10.0,10.0,10.0,6.0,46.0
kayla.bhavna@gatech.edu,5.0,10.0,1.0,6.0,10.0,32.0
richard.chontell@gmail.com,5.0,7.0,10.0,0.0,5.0,27.0
john.mckoy@nu.edu.kz,10.0,10.0,10.0,10.0,10.0,50.0
stella.latreace@gmail.com,10.0,7.0,10.0,0.0,5.0,32.0
william.sanvi@gmail.com,5.0,7.0,10.0,6.0,5.0,33.0
lillyanna.dester@poczta.onet.pl,10.0,10.0,10.0,10.0,10.0,50.0
leonard.fidensio@valensdatalabs.com,10.0,10.0,10.0,2.0,10.0,42.0
fatima.shack@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
hetty.jenyka@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
allison.link@yahoo.com,2.0,0.0,0.0,0.0,5.0,7.0
mary.amedio@gatech.edu,10.0,10.0,10.0,,6.0,36.0
max.nequita@valensdatalabs.com,10.0,10.0,10.0,10.0,10.0,50.0
michael.johnjack@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ronald.elfie@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
george.hinata@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
jan.taqi@gatech.edu,10.0,7.0,10.0,10.0,10.0,47.0
maryanne.kayge@gmail.com,10.0,10.0,10.0,4.0,10.0,44.0
leena.roah@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
rene.amritpal@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
randy.vincente@me.com,10.0,10.0,10.0,,5.0,35.0
boston.shyera@gmail.com,3.0,10.0,10.0,0.0,5.0,28.0
thomas.masao@gmail.com,7.0,7.0,10.0,10.0,6.0,40.0
kai.rex@gmail.com,10.0,8.0,10.0,4.0,10.0,42.0
andrew.jlah@hotmail.co.uk,10.0,10.0,10.0,10.0,10.0,50.0
jessi.reggan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
philip.lebarron@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
abigail.alizah@umich.edu,4.0,5.0,10.0,8.0,5.0,32.0
scarlett.abyssinia@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
justin.jernee@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
pamela.chasitity@gatech.edu,5.0,7.0,10.0,,1.0,23.0
jude.ahsir@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
denise.zykai@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
conrad.rhonisha@vt.edu,5.0,10.0,10.0,10.0,10.0,45.0
damon.martise@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kathryn.colt@mycit.ie,10.0,10.0,10.0,6.0,5.0,41.0
george.kayleeanna@gmail.com,8.0,10.0,10.0,3.0,10.0,41.0
blair.olivianna@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
john.ladia@mycit.ie,10.0,10.0,10.0,10.0,10.0,50.0
myron.caidin@gatech.edu,10.0,7.0,10.0,10.0,10.0,47.0
timothy.bunita@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
henry.marcenia@hel.fi,8.0,10.0,10.0,3.0,10.0,41.0
pamela.vigo@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
madeline.soila@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
angel.eddison@gmail.com,5.0,10.0,10.0,0.0,10.0,35.0
charles.saya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
david.zackaree@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
steven.marleyrae@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
coltin.taliya@hotmail.com,10.0,10.0,10.0,10.0,6.0,46.0
bryce.daziah@gmail.com,7.0,10.0,10.0,10.0,10.0,47.0
david.duella@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
barbara.wilhemina@gatech.edu,3.0,0.0,1.0,0.0,5.0,9.0
lowell.tylek@gatech.edu,5.0,10.0,10.0,10.0,10.0,45.0
lyrik.tasmine@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
michelle.lawana@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
zitlaly.nester@valensdatalabs.com,10.0,10.0,10.0,8.0,10.0,48.0
john.sebria@online.de,10.0,10.0,10.0,10.0,10.0,50.0
lillian.pragna@gatech.edu,10.0,7.0,10.0,10.0,10.0,47.0
landen.micaela@gmail.com,,5.0,1.0,,5.0,11.0
bobby.dezya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jeanine.antesha@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
eleanor.lenoria@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
james.makaleb@gmail.com,5.0,7.0,10.0,6.0,5.0,33.0
sherrie.rury@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
tina.davontaye@gmail.com,10.0,10.0,10.0,2.0,10.0,42.0
aaliyah.tayviona@gatech.edu,3.0,2.0,10.0,8.0,10.0,33.0
david.caswell@duke.edu,10.0,10.0,10.0,7.0,5.0,42.0
christopher.sharad@hotmail.com,10.0,7.0,10.0,,0.0,27.0
galen.marilia@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
phoebe.cambi@gmail.com,10.0,7.0,,0.0,5.0,22.0
louann.jarique@gmail.com,10.0,10.0,10.0,4.0,5.0,39.0
africa.zevion@gmail.com,3.0,5.0,10.0,,5.0,23.0
janet.tenaj@gmail.com,10.0,10.0,10.0,7.0,5.0,42.0
savanna.equasha@gatech.edu,3.0,7.0,10.0,8.0,6.0,34.0
dana.branch@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
stacie.swadha@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
seneca.nasaria@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
david.viletta@gmail.com,3.0,7.0,10.0,2.0,5.0,27.0
philip.yoshinobu@gmail.com,10.0,10.0,10.0,0.0,5.0,35.0
kamil.keiarah@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
betsy.rictoria@bucknell.edu,5.0,7.0,10.0,,5.0,27.0
ryo.hinano@hotmail.co.jp,10.0,7.0,10.0,10.0,5.0,42.0
thomas.marlize@gmail.com,10.0,5.0,10.0,10.0,10.0,45.0
andrea.shayaan@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
jose.lakeeshia@rocketmail.com,10.0,10.0,10.0,10.0,10.0,50.0
adam.evemarie@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
mary.pasquinel@gmail.com,3.0,7.0,1.0,,5.0,16.0
holly.chintan@msn.com,10.0,10.0,10.0,2.0,10.0,42.0
hattie.gabriella@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
edgar.shifra@googlemail.com,5.0,,10.0,10.0,5.0,30.0
larry.girlene@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
michael.volvi@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
abigail.lynnon@gmail.com,5.0,0.0,1.0,,1.0,7.0
sean.maizley@gmail.com,5.0,7.0,10.0,10.0,5.0,37.0
minnie.akaia@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
karina.tomea@ucr.edu,10.0,10.0,10.0,10.0,10.0,50.0
carolyn.cherin@gmail.com,5.0,10.0,10.0,10.0,0.0,35.0
gary.lamiek@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
karin.abbey@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
sandra.rethia@gmail.com,5.0,5.0,1.0,10.0,5.0,26.0
kari.reighlynn@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
charity.rieley@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
kassandra.starshema@gatech.edu,10.0,7.0,10.0,10.0,10.0,47.0
joan.christineanne@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kimberly.nealon@gmail.com,,,,,10.0,10.0
marco.avry@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
alice.matthewdavid@gmail.com,10.0,10.0,10.0,8.0,10.0,48.0
frank.ethelmae@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
dana.madisonrose@yahoo.fr,10.0,10.0,10.0,10.0,6.0,46.0
patrick.zyrion@gmail.com,5.0,10.0,10.0,2.0,5.0,32.0
deandre.jazzabella@gmail.com,,10.0,1.0,6.0,5.0,22.0
michael.latrish@selu.edu,10.0,10.0,10.0,8.0,10.0,48.0
glenda.ashritha@gmail.com,10.0,10.0,10.0,2.0,6.0,38.0
allie.jatziry@gmail.com,3.0,5.0,10.0,10.0,6.0,34.0
sean.henrene@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
anquette.zeshaun@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
jillian.myler@gmail.com,10.0,10.0,10.0,6.0,6.0,42.0
joseph.sherburne@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
brian.aloria@gmail.com,,2.0,,,,2.0
joyce.adeel@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
ron.mariadelosangel@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
juancarlos.carrye@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
john.armando@pentafoundation.org,10.0,10.0,10.0,10.0,10.0,50.0
michelle.fionnlagh@gmail.com,10.0,7.0,10.0,,10.0,37.0
iwao.jency@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kenneth.shontae@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
chad.kamiyra@gatech.edu,5.0,7.0,10.0,10.0,10.0,42.0
kenneth.bryland@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
gregory.shondell@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
carlos.nasra@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
annie.jaethan@mail.ru,10.0,10.0,10.0,8.0,5.0,43.0
vivian.kisher@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
crystal.antwann@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
tom.wallice@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
kathy.tavaughn@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
james.miina@gmail.com,5.0,10.0,10.0,,6.0,31.0
steven.dashiya@gmail.com,10.0,10.0,10.0,8.0,6.0,44.0
jenna.shaunah@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
christopher.denean@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
jonathan.waheedah@gmail.com,8.0,10.0,10.0,8.0,5.0,41.0
kathleen.morrigan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
justin.zende@yahoo.com,10.0,10.0,10.0,5.0,5.0,40.0
payton.michoel@gmail.com,10.0,10.0,10.0,8.0,10.0,48.0
laura.tyzier@hungperfect.com,10.0,10.0,10.0,10.0,10.0,50.0
devan.sameya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
eugene.chares@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
andrew.rish@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
lester.sabrynn@gatech.edu,10.0,10.0,10.0,2.0,5.0,37.0
michael.kavayah@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
connie.westlan@hotmail.com,5.0,7.0,10.0,0.0,5.0,27.0
barbara.dewarren@gmail.com,5.0,10.0,1.0,,6.0,22.0
matthew.juhi@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
derrick.sacario@gatech.edu,5.0,10.0,1.0,,1.0,17.0
martha.twanetta@numera.consulting,10.0,10.0,10.0,10.0,10.0,50.0
lester.yesmi@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
edwin.dakai@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
william.artricia@vcu.edu,8.0,4.0,10.0,,5.0,27.0
alex.yaret@gatech.edu,10.0,10.0,10.0,6.0,5.0,41.0
abraham.clairece@gmail.com,10.0,10.0,10.0,8.0,10.0,48.0
dana.ashliegh@gatech.edu,10.0,10.0,10.0,,10.0,40.0
gale.syler@gmail.com,10.0,10.0,9.0,0.0,10.0,39.0
jeffrey.raoof@gmail.com,5.0,10.0,10.0,8.0,10.0,43.0
tiffany.quindell@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ben.zaida@gatech.edu,7.0,7.0,10.0,10.0,10.0,44.0
audra.kayleh@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
winston.wymon@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
gabrielle.prinsha@gmail.com,5.0,10.0,10.0,10.0,0.0,35.0
jerry.zierre@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
paul.derrin@hawk.iit.edu,10.0,10.0,10.0,10.0,6.0,46.0
kiesha.millard@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
franklin.ginnette@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
sierra.kyrsha@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
sherry.ayleigh@aol.com,10.0,10.0,10.0,10.0,10.0,50.0
julia.tyrene@gatech.edu,5.0,7.0,1.0,,5.0,18.0
perla.karynn@gatech.edu,10.0,10.0,10.0,10.0,5.0,45.0
susan.arville@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
nichole.bertrice@gmail.com,10.0,10.0,10.0,,5.0,35.0
brittany.aleta@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
elijah.lareta@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
bernard.hammie@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
anthony.rabi@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
geraldine.kingsolomon@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
dashay.lanier@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
patricia.richardjames@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sergio.cherye@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
jenae.torrence@gatech.edu,3.0,7.0,10.0,10.0,5.0,35.0
lola.fysher@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
peter.branwyn@gmail.com,10.0,7.0,10.0,10.0,6.0,43.0
rita.devun@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
edna.teerica@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
peter.kadenn@gmail.com,10.0,10.0,10.0,,6.0,36.0
harry.dafni@icloud.com,10.0,10.0,10.0,10.0,10.0,50.0
jamie.asadbek@gmail.com,10.0,10.0,10.0,8.0,10.0,48.0
lynn.adarryll@gmail.com,7.0,10.0,10.0,10.0,5.0,42.0
dominic.lexanni@gmail.com,5.0,7.0,10.0,10.0,10.0,42.0
christian.miyisha@yahoo.com,5.0,7.0,10.0,,5.0,27.0
delaney.dshon@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
david.brandia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
mel.gilman@gatech.edu,3.0,10.0,10.0,0.0,6.0,29.0
paul.jawaski@gmail.com,7.0,10.0,10.0,8.0,5.0,40.0
tina.starsky@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
florence.jenessa@gmail.com,10.0,10.0,10.0,,5.0,35.0
linda.sheyli@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jarrod.onas@gatech.edu,10.0,7.0,10.0,2.0,5.0,34.0
shree.elica@gatech.edu,8.0,10.0,10.0,8.0,10.0,46.0
david.harun@gmail.com,5.0,4.0,1.0,,5.0,15.0
zuri.eilleen@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
lucy.anouk@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
brodie.scottia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
patricia.flodie@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
lauren.tonnisha@gmail.com,10.0,10.0,10.0,2.0,10.0,42.0
lamar.rinya@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
elizabeth.eryc@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
william.piers@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
michaela.ashauria@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
amanda.nikya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ara.dagny@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
mary.daje@gmail.com,10.0,10.0,10.0,0.0,6.0,36.0
sanquita.yhadira@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
elliott.ehlana@gmail.com,10.0,7.0,10.0,10.0,6.0,43.0
debra.shaheer@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ethel.gordon@uoregon.edu,10.0,10.0,10.0,10.0,10.0,50.0
stephen.lakeema@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
robert.tolisha@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
sarah.chee@ieee.org,10.0,10.0,10.0,10.0,10.0,50.0
matthew.monise@hotmail.com,5.0,10.0,10.0,6.0,6.0,37.0
noah.jamea@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
luke.joselen@gatech.edu,10.0,10.0,10.0,10.0,6.0,46.0
henry.renasia@gatech.edu,3.0,10.0,10.0,2.0,6.0,31.0
faye.daly@yahoo.com,10.0,10.0,10.0,10.0,5.0,45.0
delores.idele@gmail.com,10.0,7.0,10.0,5.0,10.0,42.0
barbara.kalesi@gmail.com,7.0,7.0,10.0,9.0,6.0,39.0
charles.nando@gmail.com,10.0,10.0,10.0,8.0,5.0,43.0
james.adeanna@email.arizona.edu,10.0,10.0,10.0,2.0,6.0,38.0
lisa.demerion@gmail.com,5.0,7.0,5.0,,5.0,22.0
brandon.jerrill@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
alexis.shondrea@gatech.edu,3.0,7.0,6.0,6.0,2.0,24.0
barbara.hatsumi@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
rafael.kaston@gatech.edu,8.0,7.0,10.0,10.0,6.0,41.0
alexandra.lacee@madlan.co.il,10.0,10.0,10.0,10.0,10.0,50.0
jacob.ozkar@gmail.com,7.0,10.0,5.0,6.0,8.0,36.0
luis.jonn@gmail.com,10.0,10.0,10.0,4.0,10.0,44.0
damian.imarion@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
melissa.sherriann@gmail.com,5.0,7.0,1.0,,5.0,18.0
jack.othmar@gmail.com,10.0,7.0,10.0,10.0,5.0,42.0
aaron.kyerra@foxmail.com,10.0,10.0,10.0,10.0,10.0,50.0
chris.jonithan@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
gracie.keshav@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sammie.jaydaa@gmail.com,10.0,10.0,1.0,0.0,5.0,26.0
abigail.lanty@gatech.edu,10.0,10.0,10.0,7.0,10.0,47.0
mary.damarte@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
susan.analissa@enactdevelopment.com,10.0,7.0,10.0,10.0,10.0,47.0
samantha.dreami@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jason.jadian@gmail.com,5.0,7.0,10.0,10.0,10.0,42.0
gary.adamina@mail.ccsf.edu,10.0,7.0,10.0,,6.0,33.0
susan.tedrina@gatech.edu,7.0,7.0,10.0,10.0,5.0,39.0
patricia.zuber@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
heather.courtnay@gmail.com,10.0,10.0,10.0,10.0,8.0,48.0
george.kareema@outlook.com,10.0,10.0,10.0,10.0,10.0,50.0
bennett.shelbert@gmail.com,10.0,10.0,10.0,5.0,10.0,45.0
robert.larico@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
audrey.khushbu@gmail.com,3.0,2.0,10.0,10.0,5.0,30.0
lindsey.kinard@hotmail.com,10.0,10.0,10.0,10.0,6.0,46.0
hubert.kezlyn@yandex.ru,10.0,7.0,10.0,6.0,8.0,41.0
ellie.jodean@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
sheila.vananh@gmail.com,5.0,7.0,10.0,10.0,10.0,42.0
diane.mareo@gmail.com,0.0,,1.0,8.0,5.0,14.0
anita.sinclaire@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
amanda.dvyne@gatech.edu,3.0,10.0,10.0,10.0,10.0,43.0
gabrielle.javierjr@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
bailey.mckeyla@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
albert.averley@gmail.com,3.0,7.0,1.0,,5.0,16.0
nancy.lebrandon@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
leigh.nadiyah@gatech.edu,10.0,10.0,10.0,8.0,10.0,48.0
jessica.rinda@gatech.edu,10.0,10.0,10.0,8.0,5.0,43.0
brian.tylicia@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
robert.eila@edna.tech,10.0,10.0,10.0,,5.0,35.0
robert.aveah@web.de,10.0,10.0,10.0,8.0,5.0,43.0
deionte.banisha@gmail.com,4.0,7.0,1.0,0.0,1.0,13.0
daniel.cuauhtli@gmail.com,10.0,7.0,10.0,10.0,10.0,47.0
david.naheem@protonmail.com,3.0,10.0,5.0,5.0,5.0,28.0
robert.gioanna@gatech.edu,5.0,7.0,10.0,10.0,10.0,42.0
sue.ikira@gmail.com,10.0,10.0,6.0,10.0,10.0,46.0
david.zarak@gmail.com,10.0,7.0,10.0,4.0,10.0,41.0
anna.waldron@gatech.edu,5.0,10.0,1.0,,5.0,21.0
margaret.tim@protonmail.com,10.0,10.0,10.0,10.0,10.0,50.0
eric.xiah@icloud.com,5.0,7.0,1.0,2.0,5.0,20.0
katelyn.sala@hotmail.com,5.0,10.0,1.0,,6.0,22.0
paul.kaylana@gatech.edu,5.0,7.0,10.0,10.0,10.0,42.0
mark.lakara@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
oliver.caila@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
cadence.monsserat@gmail.com,10.0,10.0,10.0,7.0,10.0,47.0
jacolyn.deborahh@live.de,5.0,4.0,10.0,0.0,5.0,24.0
mark.trayvond@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
tiffany.rexlee@gmail.com,10.0,7.0,10.0,,5.0,32.0
mary.yahshua@gatech.edu,5.0,10.0,5.0,,6.0,26.0
nikki.lysander@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
charlene.cherree@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
bradley.dailey@case.edu,10.0,10.0,10.0,10.0,10.0,50.0
patricia.vernell@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
analysa.taisiya@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
steven.macray@gmail.com,10.0,10.0,10.0,10.0,5.0,45.0
sarah.kimanh@gatech.edu,3.0,10.0,0.0,0.0,6.0,19.0
christopher.josericardo@gmail.com,5.0,10.0,10.0,,10.0,35.0
ryne.marialy@gmail.com,10.0,10.0,10.0,10.0,6.0,46.0
kaitlyn.asharie@gatech.edu,10.0,10.0,10.0,10.0,10.0,50.0
bonna.tahisha@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
charles.pavni@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
jenifer.juwuan@gmail.com,10.0,7.0,10.0,10.0,6.0,43.0
meghan.karlotta@gatech.edu,10.0,10.0,10.0,,10.0,40.0
ruth.ayaa@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
fernando.djaun@iiitdm.ac.in,5.0,10.0,10.0,8.0,10.0,43.0
martha.chineme@gmail.com,8.0,10.0,10.0,4.0,6.0,38.0
judith.baelie@yahoo.com,10.0,8.0,10.0,10.0,5.0,43.0
braylon.tecia@livemail.tw,5.0,10.0,6.0,,5.0,26.0
eileen.malu@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
james.amiee@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
ethan.lakeyia@gatech.edu,7.0,10.0,10.0,10.0,10.0,47.0
ruth.laverl@yahoo.com,10.0,7.0,10.0,10.0,10.0,47.0
gary.ashyia@mail.ru,3.0,7.0,10.0,10.0,10.0,40.0
adelina.roxene@gmail.com,10.0,7.0,10.0,,5.0,32.0
charles.purdy@hotmail.com,10.0,10.0,10.0,10.0,10.0,50.0
latonya.ervena@gmail.com,5.0,10.0,10.0,10.0,10.0,45.0
mollie.gaines@gmail.com,7.0,10.0,10.0,7.0,10.0,44.0
rebecca.latrea@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
denise.rickayla@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
john.terasa@gatech.edu,10.0,7.0,1.0,2.0,5.0,25.0
patricia.ariha@gatech.edu,5.0,10.0,10.0,10.0,10.0,45.0
lily.hilry@gatech.edu,8.0,7.0,10.0,2.0,6.0,33.0
anthony.fashionette@yahoo.com,10.0,10.0,10.0,10.0,10.0,50.0
archer.arjay@gmail.com,5.0,10.0,10.0,8.0,5.0,38.0
michael.dixy@gmail.com,10.0,8.0,10.0,10.0,10.0,48.0
trey.haldrin@gmail.com,10.0,10.0,10.0,10.0,10.0,50.0
